Name,Compound ID,InChIKey,SMILES,logS,logP,MW
,C7421,ACIVXVCFXWJISJ-UHFFFAOYSA-N,CCC(C(=O)NC(=O)N)(CC)Cl,-1.802022555,2.0701,192.643
,C3984,ACIZPTCLQKKZKN-UHFFFAOYSA-N,CCC(=O)C(c1ccccc1)(c1ccccc1)CCC[NH+](C)C.[Cl-],-4.117360459,-0.1195,345.906
,C8615,ACJHFLOITZTLEZ-UHFFFAOYSA-N,CCN(CC(COC(=O)N)(COC(=O)N)CC)CC,-0.780918661,2.3158,275.345
,C3556,ACMQQWTWVVNMCB-LJLRIERRSA-N,CN([C@@H]1C[C@H](N(C1=O)c1ccccc1)C)CCc1ccccc1.[O-][N+](=O)c1ccc(cc1)N1N=C(C(C1=O)[N+](=O)[O-])C,-4.479114436,4.9295,572.612
,C3557,ACMQQWTWVVNMCB-ZKKBRJJYSA-N,CN([C@@H]1C[C@@H](N(C1=O)c1ccccc1)C)CCc1ccccc1.[O-][N+](=O)c1ccc(cc1)N1N=C(C(C1=O)[N+](=O)[O-])C,-4.479114436,4.9295,572.612
,C6870,ACRBVLNVNAEIRT-UHFFFAOYSA-N,CCCC(COC(=O)N(C)C)(CO)C,-2.165084125,1.4833,203.279
,C2852,ACRMUSVWIFZVSM-JTHHODAVSA-N,C[C@@H](C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1)CN1CCOCC1.O[C@H]([C@H](C(=O)O)O)C(=O)O,-5.285796704,1.3166,542.621
,C5879,ACSIXWWBWUQEHA-UHFFFAOYSA-N,ClC(P(=O)(O)O)(P(=O)(O)O)Cl,-2.792915159,0.4307,244.892
,C1711,ACTIUHUUMQJHFO-UPTCCGCDSA-N,COC1=C(OC)C(=O)C(=C(C1=O)C/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)\C)\C)\C)\C)\C)\C)\C)C,-18.21769274,17.8539,863.344
,C9239,ACTRVOBWPAIOHC-XIXRPRMCSA-N,S[C@H]([C@@H](C(=O)O)S)C(=O)O,0.198674248,-0.2476,182.218
,C3872,ACUALSMYKRGSLK-UHFFFAOYSA-N,CC[NH+](CCOC(=O)C1(O)c2ccccc2c2c1cccc2)CC.[Cl-],-4.191191859,-1.6252,361.862
,C7414,ACVARMNPHWNVNQ-UHFFFAOYSA-N,CC[NH+](CCOc1ccccc1C(=O)N)CC.[Cl-],-1.809461029,-2.2067,272.771
,C4198,ADAILPWNRDCXTR-UHFFFAOYSA-L,C1CCCN1.C1CCCN1.[Cl-].[Cl-].[Pt+2],-3.968440407,-4.5973,408.226
,C7346,ADBOAGBBFIEYBZ-UHFFFAOYSA-N,N/C(=N\CCOCc1ccccc1)/CSS(=O)(=O)O,-1.845924956,2.8775,304.386
,C3796,ADGGJQPKBDIZMT-IAXIIBAVSA-K,Oc1cc(cc2c1c(/N=N/c1ccc(c3c1cccc3S(=O)(=O)[O-])Nc1ccccc1)cc(c2)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],-4.254744592,7.8853,695.584
,C465,ADIMAYPTOBDMTL-OAHLLOKOSA-N,O=C1Nc2ccc(cc2C(=N[C@@H]1O)c1ccccc1)Cl,-3.95,2.0215,286.713
,C3925,ADIMAYPTOBDMTL-UHFFFAOYSA-N,O=C1Nc2ccc(cc2C(=NC1O)c1ccccc1)Cl,-4.156420419,2.0215,286.713
,C2604,ADLUXTSNZSZRQU-UHFFFAOYSA-N,OC(=O)C(=O)O.CN(CCCC1(OC(c2c1cccc2)(C)C)C1CCCCC1)C,-5.656205307,4.2249,405.528
,C6121,ADLZRPUDXVXGRQ-UHFFFAOYSA-N,CN(c1c(C)n(C2CCCC2)c(=O)n(c1=O)C)C,-2.650508016,1.0365,251.325
,C7948,ADNAPRCXSGMYRO-UHFFFAOYSA-N,CCC(C#C)(OC)C,-1.420474864,1.4347,112.17
,C4667,ADQDRPUFTMYUAP-UHFFFAOYSA-N,COc1ccc(cc1)C(=O)OCCCN1CCCCC1C,-3.627519382,3.0544,291.385
,C5854,ADRPZEYTIFWCBC-UHFFFAOYSA-N,FCC(=O)N(c1cccc2c1cccc2)C,-2.809315891,2.7721,217.239
,C8922,ADSMCWDSEPBBCF-UHFFFAOYSA-M,Clc1ccc(cc1)C(=O)Oc1cccc(c1)[N+](C)(C)C.[Br-],-0.343679316,0.7599,370.669
,C8095,ADTDBAKUQAKBGZ-VXJIXCKJSA-N,O=C1C[C@@H]2OCC=C3[C@H]4[C@@H]2[C@@H]2N1c1ccccc1[C@]12CC[N+]([C@H]1C4)(C3)[O-],-1.275073462,2.1289,350.411
,C7225,ADTVPFMABWHJLN-UHFFFAOYSA-N,Cc1n(C)c(=O)n(c(=O)c1Br)c1ccccc1,-1.938543255,1.6071,295.132
,C5432,ADUQCZNXZCXDGD-UHFFFAOYSA-N,CCCCCCSCCCN1CSCC1.Cl,-3.078443036,4.4362,283.925
,C988,ADVGKWPZRIDURE-UHFFFAOYSA-N,CC(=O)Nc1ccccc1O,-2.24,1.4236,151.163
,C3601,ADZXDFALMZGPTN-UHFFFAOYSA-M,CC[N+](CCOC(=O)C(C1CCCC1)C1CCCC1)(CC)CC.[Br-],-4.443089072,1.4067,404.425
,C3340,AEFKGCXZPXLJKP-UHFFFAOYSA-N,CCOC(=O)C(C(C[NH+](C)C)C)(c1ccccc1)c1ccccc1.[Cl-],-4.688782375,-0.6796,361.906
,C5433,AEKKYOUYTGSRHQ-UHFFFAOYSA-N,CCCCSCCCCCN1CSCC1.Cl,-3.078443036,4.4362,283.925
,C7413,AEKVBBNGWBBYLL-UHFFFAOYSA-N,N#Cc1ccc(cc1)F,-1.810193076,1.69738,121.112
,C8858,AELCINSCMGFISI-DTWKUNHWSA-N,N[C@@H]1C[C@H]1c1ccccc1,-0.437848392,2.2015,133.19
,C519,AEMFNILZOJDQLW-QAGGRKNESA-N,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CCC2=O)C)C,-3.6900001,4.0874,286.409
,C7525,AEOCXXJPGCBFJA-UHFFFAOYSA-N,CCc1nccc(c1)C(=S)N,-1.723672819,1.9785,166.243
,C9364,AEQFSUDEHCCHBT-UHFFFAOYSA-M,CCCC(C(=O)[O-])CCC.[Na+],0.313405539,0.9527,166.193
,C4657,AETKQQBRKSELEL-ZHACJKMWSA-N,O=C(c1ccccc1O)/C=C/c1ccccc1,-3.633912158,3.2883,224.255
,C3437,AEUAEICGCMSYCQ-UHFFFAOYSA-N,OP(=O)(O)O.CCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC,-4.595736367,3.955,417.867
,C9743,AEUTYOVWOVBAKS-UWVGGRQHSA-N,CC[C@H](NCCN[C@H](CO)CC)CO,0.689701874,0.4892,204.31
,C6356,AEVSLBGUEKOQEE-UHFFFAOYSA-N,ON=C(C1CC1)C1CC1,-2.5020075,1.6366,125.168
,C394,AEXMKKGTQYQZCS-UHFFFAOYSA-N,CCC(CC)(C)C,-4.23,2.8326,100.202
,C9512,AEYOOYGXUSCILK-UHFFFAOYSA-N,OC(CNCCSP(=O)(O)O)CNCCSP(=O)(O)O,0.431432203,-0.0399,370.32
,C509,AFABGHUZZDYHJO-UHFFFAOYSA-N,CCCC(C)C,-3.74,2.4425,86.1754
,C9190,AFBBKYQYNPNMAT-UHFFFAOYSA-N,S=c1nc[nH][nH]1,0.118984517,0.4673,101.13
,C1308,AFBPFSWMIHJQDM-UHFFFAOYSA-N,CNc1ccccc1,-1.28,1.8013,107.153
,C1894,AFCKBLSDCKJRLH-UHFFFAOYSA-N,Brc1ccccc1CNCC1CCC(CC1)CNCc1ccccc1Br.Cl.Cl,-7.899652518,8.2832,553.201
,C2483,AFCLFDKFCDBXOH-UHFFFAOYSA-N,Fc1ccccc1CNCC1CCC(CC1)CNCc1ccccc1F.Cl.Cl,-5.853836165,7.0364,431.39
,C6694,AFDJQFFKYDCYIG-JSGFVSQVSA-M,O=C1N=C(N(C1)/N=C/c1ccc(o1)[N+](=O)[O-])[O-].[Na+],-2.275329702,0.0471,260.139
,C6515,AFDXODALSZRGIH-QPJJXVBHSA-N,COc1ccc(cc1)/C=C/C(=O)O,-2.398396022,1.793,178.185
,C3140,AFEAUYYSRPFHIA-UHFFFAOYSA-N,CCN(CCCC(Nc1c(C)cnc2c1ccc(c2)Cl)C)CC,-4.934789883,5.192,333.899
,C178,AFFLGGQVNFXPEV-UHFFFAOYSA-N,CCCCCCCCC=C,-5.5100002,3.923,140.266
,C3520,AFGFYWOVFUGCLA-UHFFFAOYSA-N,CCC(C(=O)OCC(Cl)(Cl)Cl)CC,-4.516850393,3.336,247.547
,C5694,AFGWGIRVJYUUMY-UHFFFAOYSA-N,CCNc1nc(OCC)nc(n1)C,-2.914259775,1.0835,182.223
,C6532,AFIXAFUSSQHYKM-UHFFFAOYSA-N,CCC(=O)N1CC2CCC(C1)N2C(=O)CC,-2.387049191,0.884,224.299
,C7708,AFLXUQUGROGEFA-UHFFFAOYSA-N,ClCC[N+](CCCl)(C)[O-],-1.594178042,1.4293,172.053
,C5771,AFMPMSCZPVNPEM-UHFFFAOYSA-N,N#Cc1ccccc1Br,-2.869360581,2.32078,182.017
,C707,AFOGBLYPWJJVAL-UHFFFAOYSA-N,CCCCNC(=O)NS(=O)(=O)c1ccccc1,-3.05,3.3372,256.321
,C9303,AFOSIXZFDONLBT-UHFFFAOYSA-N,C=CS(=O)(=O)C=C,0.274310329,1.769,118.154
,C1173,AFPHTEQTJZKQAQ-UHFFFAOYSA-N,OC(=O)c1cccc(c1)[N+](=O)[O-],-1.6799999,1.8162,167.119
,C5108,AFPRJLBZLPBTPZ-UHFFFAOYSA-N,O=C1C(=O)c2c3c1cccc3ccc2,-3.305578352,2.2188,182.175
,C4129,AFQKQSFAMSDDFK-UHFFFAOYSA-N,OCCOc1c(cc(cc1c1ccccc1)Br)C(=O)NCCO,-4.020148903,2.6002,380.233
,C1432,AFQYFVWMIRMBAE-UHFFFAOYSA-N,NC(=O)OCC(C)(C)C,-0.80000001,1.8281,131.173
,C9834,AFRFYMZFIJPPDD-UHFFFAOYSA-N,OCCN(C(=O)CO)CCO,0.787351702,-2.2081,163.172
,C3492,AFRMBEPXLCTCKZ-UHFFFAOYSA-N,CN(CC=C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)C.Cl,-4.543229877,5.7887,342.691
,C6641,AFUKNJHPZAVHGQ-UHFFFAOYSA-N,COc1ccc(c(c1)C=O)OC,-2.320201146,1.5163,166.174
,C2513,AFVPBHIGQFTYLE-UHFFFAOYSA-N,CN(Cc1ccccc1)CC1CCC(CC1)CN(Cc1ccccc1)C.Cl.Cl,-5.815914266,6.6608,423.462
,C7438,AFWKBSMFXWNGRE-ONEGZZNKSA-N,COc1cc(/C=C/C(=O)C)ccc1O,-1.784097934,2.003,192.211
,C4649,AFYCEAFSNDLKSX-UHFFFAOYSA-N,CCN(c1ccc2c(c1)oc(=O)cc2C)CC,-3.637439036,2.9476,231.29
,C2267,AFYNWNWCDBFAJL-UHFFFAOYSA-N,Nc1cc2nc3cc(N)c(cc3c(c2cc1C)c1ccccc1)C,-6.305772823,5.9986,313.396
,C6931,AGCONKZAPKGEKI-UHFFFAOYSA-N,CCCOc1c(OC)cccc1C(=O)OCC[NH+](C)C.[Cl-],-2.134811637,-2.2107,317.808
,C9268,AGDVQHODLAMVPE-UHFFFAOYSA-L,CC[N+](CCCc1ccc(cc1)[N+](CC)(CC)CC)(CC)CC.[I-].[I-],0.240805212,-1.1293,574.365
,C3755,AGHANLSBXUWXTB-UHFFFAOYSA-N,OC(=O)COc1ccc(c(c1Cl)Cl)C(=O)c1cccs1,-4.285524512,3.7493,331.171
,C6218,AGJUUQSLGVCRQA-SWOUQTJZSA-N,CCCCC[C@H]([C@@H]1[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)[C@@H](O)[C@H](O)/C(=C/C=C/C=C/C=C/C=C/[C@@H]([C@H](OC1=O)C)O)/C)O,-2.586317413,0.8588,670.828
,C8182,AGLXDWOTVQZHIQ-UHFFFAOYSA-N,O=c1[nH]c2c(o1)cc(c(c2)Cl)O,-1.204033396,1.4801,185.565
,C630,AGMMTXLNIQSRCG-SECBINFHSA-N,CC[C@H]1NC(=O)c2c(N1)cc(c(c2)S(=O)(=O)N)Cl,-3.29,3.1267,289.739
,C5135,AGMMTXLNIQSRCG-UHFFFAOYSA-N,CCC1NC(=O)c2c(N1)cc(c(c2)S(=O)(=O)N)Cl,-3.285908218,3.1267,289.739
,C8566,AGNGYMCLFWQVGX-AGFFZDDWSA-N,[O-]/C(=C\[N+]#N)/OC[C@@H](C(=O)O)N,-0.826411099,0.19768,173.127
,C2251,AGOYDEPGAOXOCK-KCBOHYOISA-N,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@H]([C@@H](O2)C)O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C[C@H](C(=O)[C@@H]([C@H]([C@]1(C)O)O)C)C)(C)OC,-6.339854584,2.4397,747.953
,C4605,AGSLHFQPWVSWHT-UHFFFAOYSA-N,Brc1cc(Br)cc2c1oc(=O)[nH]2,-3.663966404,2.6461,292.912
,C7618,AGWWTUWTOBEQFE-UHFFFAOYSA-N,Cn1cn[nH]c1=S,-1.649659322,0.4777,115.157
,C5211,AHBRRAXTNYHHPH-UHFFFAOYSA-N,OCC(COc1cccc2c1CCCC2)O,-3.232964851,1.2974,222.28
,C6734,AHCLKGZTPQXOQK-UHFFFAOYSA-N,ClCC[NH2+]CCOc1ccccc1C.[Cl-],-2.255208259,-1.82,250.165
,C8999,AHDSRXYHVZECER-UHFFFAOYSA-N,CN(Cc1cc(CN(C)C)c(c(c1)CN(C)C)O)C,-0.209058707,1.577,265.394
,C4786,AHGTVVKFAJFTJE-ATVHPVEESA-N,CN(/N=C\C(=O)c1ccc(cc1)Oc1ccccc1)C,-3.55300665,3.209,268.31
,C7759,AHHFEZNOXOZZQA-ZEBDFXRSSA-N,ClCCN(C(=O)NC[C@H]1O[C@H](OC)[C@@H]([C@H]([C@@H]1O)O)O)N=O,-1.561257773,-1.2369,327.719
,C75,AHJKRLASYNVKDZ-UHFFFAOYSA-N,ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)Cl,-7.1999998,5.929,320.041
,C2796,AHPNNQWLCKYVLJ-UHFFFAOYSA-N,CCN(CC(=O)N1C(C)(C)CC(CC1(C)C)c1ccccc1)CC,-5.360829983,4.2295,330.507
,C1873,AHPSBPRPKMMFHX-UHFFFAOYSA-N,C1CCC(CC1)CCNCC1CCC(=CC1)CNCCC1CCCCC1.CC(=O)O.CC(=O)O,-8.135362184,6.7965,480.723
,C8785,AHRCREUHIWVOMK-UHFFFAOYSA-M,[O-]C(=O)c1c(O)cccc1O.[Na+],-0.538196578,-0.5387,176.102
,C4952,AHRWWYGWQKBKBF-PCHYHQBZSA-N,O=C1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2C(=O)C[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C,-3.418758854,3.9824,330.461
,C2510,AHVIRXLYZVRAIR-UHFFFAOYSA-N,COc1ccccc1CNCC1CCC(CC1)CNCc1ccccc1OC.Cl.Cl,-5.820234824,6.7754,455.461
,C4078,AHVZWIOHDYMAPH-UHFFFAOYSA-N,O=C(c1ccc(cc1)[N+](=O)[O-])Nc1ncccc1C(=O)O,-4.060291286,2.5365,287.228
,C7347,AHZOOTGUHLEJCG-UHFFFAOYSA-N,NC(=N)c1ccc(cc1)Nc1ccc(cc1)C(=N)N.Cl.Cl,-1.845131336,5.2754,326.224
,C3074,AIGRXSNSLVJMEA-UHFFFAOYSA-N,CCOP(=S)(c1ccccc1)Oc1ccc(cc1)[N+](=O)[O-],-5.016849359,4.8189,323.304
,C7864,AIIGKPCMCFGSPV-UHFFFAOYSA-N,O=C(c1cc(Cl)nc(c1)Cl)N1CCOCC1,-1.482311731,1.7987,261.105
,C1069,AIKKULXCBHRFOS-UHFFFAOYSA-N,COP(=S)(SCC(=O)N(C=O)C)OC,-2,2.1382,257.268
,C3608,AIMBKJPGWOGDHQ-BTJKTKAUSA-N,CN1CCN(CC1)C1Cc2ccccc2Sc2c1cc(cc2)S(=O)(=O)C.OC(=O)/C=C\C(=O)O,-4.433448072,3.7543,504.619
,C8392,AITDPMAXOVTSTP-UHFFFAOYSA-N,N(Cc1ccccc1)CCNCc1ccccc1.O=C1NC(C(C1C(=O)C)O)C(C)(C)C.O=C1NC(C(C1C(=O)C)O)C(C)(C)C,-0.986513471,4.1994,638.837
,C288,AIUHRQHVWSUTGJ-UHFFFAOYSA-N,CC(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,-4.6999998,4.4543,446.005
,C73,AIURIRUDHVDRFQ-UHFFFAOYSA-N,Clc1ccccc1c1cc(Cl)c(c(c1Cl)Cl)Cl,-7.21,6.6206,326.433
,C9795,AIXAANGOTKPUOY-UHFFFAOYSA-N,NC(=O)OCC[N+](C)(C)C.[Cl-],0.738385103,-2.5078,182.648
,C2798,AJADKUBPAXMBLU-AQFVONAPSA-N,Cc1ccc(cc1)CCN1CC[C@@]23[C@H]([C@H]1Cc1c3cc(cc1)O)CCCC2.Cl,-5.354356219,5.7416,397.981
,C2258,AJCAAYFLWRSTJO-UHFFFAOYSA-N,OC(=O)C(=O)O.CCC(=O)N(CC(N1CCC(CC1)c1ccccc1)C)Cc1ccccc1.CCC(=O)N(CC(N1CCC(CC1)c1ccccc1)C)Cc1ccccc1,-6.329005691,8.418,819.082
,C5837,AJCNOWKYMZKMFV-UHFFFAOYSA-N,CN(CCN(c1ccccc1)Cc1ccccc1)C.Cl,-2.822172544,4.0568,290.831
,C710,AJDIZQLSFPQPEY-UHFFFAOYSA-N,FC(C(Cl)(F)F)(Cl)Cl,-3.04,2.9189,187.376
,C2757,AJGPJHWDEKEBDM-UHFFFAOYSA-N,CNCCCC1(OC(c2c1cccc2)(C)C)c1ccc(cc1)Cl.Cl,-5.433533963,6.0414,366.325
,C3165,AJLFOPYRIVGYMJ-INTXDZFKSA-N,CC[C@@H](C(=O)O[C@H]1CCC=C2[C@H]1[C@@H](CC[C@@H]1C[C@@H](O)CC(=O)O1)[C@H](C=C2)C)C,-4.910311564,3.9495,390.513
,C6075,AJLQXEQUKXLZMN-UHFFFAOYSA-N,ClCCN(CCC(Cl)C)CCCl.Cl,-2.670134497,3.5854,269.039
,C5936,AJOQSQHYDOFIOX-UHFFFAOYSA-N,CCC(c1ccccc1)C(=O)NC(=O)N,-2.761471979,2.4663,206.241
,C7461,AJQMCEMSWCGRRN-YFKPBYRVSA-N,ClCCN(C(=O)N[C@H](C(=O)O)CCC(=O)O)N=O,-1.766841403,0.6271,281.65
,C5339,AJSCNQJAGCMGAK-UHFFFAOYSA-N,CCCOc1ccc(cc1OCC)C=CC(=O)NO,-3.140450738,2.7836,265.305
,C7683,AJSKOLZKIUMPPG-YCRREMRBSA-N,NC(=O)C(=O)N/N=C/c1ccc(o1)[N+](=O)[O-],-1.607369555,0.7376,226.146
,C7709,AJXPJJZHWIXJCJ-UHFFFAOYSA-N,CN1C(=O)CC(C1=O)(C)c1ccccc1,-1.592843965,1.2709,203.237
,C2459,AJZJIYUOOJLBAU-CEAXSRTFSA-N,O[C@H]([C@H](C(=O)O)O)C(=O)O.CN(CC(CN1c2ccccc2Sc2c1cccc2)C)C.CN(CC(CN1c2ccccc2Sc2c1cccc2)C)C,-5.899259228,6.9814,746.978
,C5775,AKBNYULNQSFESQ-UHFFFAOYSA-N,CCC1(CC)C(=O)NC(=O)N(C1=O)C(C)C,-2.866793373,1.5463,226.272
,C1228,AKCRQHGQIJBRMN-UHFFFAOYSA-N,Nc1ccccc1Cl,-1.52,2.5034,127.572
,C8179,AKEUNCKRJATALU-UHFFFAOYSA-N,OC(=O)c1c(O)cccc1O,-1.207403926,0.796,154.12
,C4689,AKFGKNDBVKJPBX-UHFFFAOYSA-N,N/C(=N\C1CC2C(C1(C)CC2)(C)C)/CSS(=O)(=O)O,-3.612442439,3.8755,306.445
,C9282,AKFQXXGXDRRJPV-UHFFFAOYSA-L,CC[N+](CCSSCC[N+](CC)(CC)C)(CC)C.[I-].[I-],0.260927089,-2.6514,548.372
,C7609,AKGGYBADQZYZPD-UHFFFAOYSA-N,CC(=O)CCc1ccccc1,-1.657645256,2.2082,148.202
,C9819,AKGOVJIZHPVYEH-UHFFFAOYSA-N,NCCCSP(=O)(O)O,0.766620559,0.8614,171.155
,C9153,AKHALQJNHJAYRL-UHFFFAOYSA-N,OCCOc1ccccc1C(=O)N,0.066145857,0.8569,181.189
,C2739,AKHXXQAIVSMYIS-UHFFFAOYSA-N,CCCCCC1Nc2cc(c(cc2S(=O)(=O)N1)S(=O)(=O)N)C(F)(F)F,-5.448869728,5.2917,401.425
,C3610,AKJDEXBCRLOVTH-UHFFFAOYSA-N,OC(=O)C(CC(=O)O)(CC(=O)O)O.CCN(CCOCCOC(=O)C1(CCCC1)c1ccccc1)CC,-4.430616589,2.1515,525.589
