Name,Octanol-water partition coefficient,Molecular weight,Number of rotatable bonds,HAcceptors,HDonor,Aromatic Proportion,MolMR,logS
2-(4-chloro-2-methylphenoxy)propanoic acid,2.5003199999999994,214.64799999999997,3.0,2.0,1.0,0.42857142857142855,53.91480000000002,-2.4660307863
zinc bis[O-(2-ethylhexyl) O-isobutyl dithiophosphate],9.324300000000001,660.2820000000003,20.0,8.0,0.0,0.0,163.39599999999962,-2.9581950472000003
1-chloro-3-(trifluoromethyl)benzene,3.3588000000000005,180.55599999999998,0.0,0.0,0.0,0.5454545454545454,36.454000000000015,-3.4115138849
"oxiran-2-ylmethyl 2,2-dimethyloctanoate",2.780900000000001,228.33199999999994,7.0,3.0,0.0,0.0,63.16900000000005,-3.5134687407
2-methylheptyl 3-sulfanylpropanoate,3.0659000000000023,218.362,8.0,3.0,1.0,0.0,62.73500000000005,-4.4543816995
1-methyl-4-(propan-2-ylidene)cyclohex-1-ene,3.453000000000002,136.238,0.0,0.0,0.0,0.0,45.98200000000003,-4.2873429345
aluminium(3+) ion sodium bis(oxosilanebis(olate)),-9.132000000000001,202.13799999999998,0.0,6.0,0.0,0.0,18.635,-3.4731390517
zinc(2+) ion bis(2-methylprop-2-enoate),-0.6901000000000002,150.47199999999998,1.0,2.0,0.0,0.0,19.820999999999994,-2.3632080977000003
3-[2-(ethylamino)-1-hydroxyethyl]phenol,1.0351,181.23499999999999,4.0,3.0,3.0,0.46153846153846156,51.61030000000003,-3.4541026398000003
"Phosphorodithioic acid, mixed O,O-bis(sec-Bu and 1,3-dimethylbutyl) esters, zinc salts",8.045700000000007,604.1740000000001,14.0,8.0,0.0,0.0,144.97999999999985,-2.9908768679000004
"2,4-dichloro-1-(chloromethyl)benzene",3.7322000000000015,195.476,1.0,0.0,0.0,0.6,46.01900000000001,-3.5129421932
"(1S,5S)-6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane",2.9987000000000013,136.238,0.0,0.0,0.0,0.0,43.75200000000002,-4.2923134549
"9-Octadecenoic acid (Z)-, reaction products with 2-[(2-aminoethyl)amino]ethanol",4.635500000000003,386.6210000000001,19.0,4.0,4.0,0.0,116.09770000000007,-4.8091341894
dodecyl 2-hydroxypropanoate,3.831300000000003,258.40199999999993,12.0,3.0,1.0,0.0,74.48380000000007,-4.6341446203
hydroxylamine,-0.6657000000000002,33.03,0.0,2.0,2.0,0.0,5.9739,-0.763033718
2-phenoxyethyl prop-2-enoate,1.7946,192.21400000000003,5.0,3.0,0.0,0.42857142857142855,53.09300000000003,-2.5636257131
benzyl-tributylazanium; 4-hydroxynaphthalene-1-sulfonate,6.85320000000001,499.71700000000016,12.0,4.0,1.0,0.45714285714285713,143.30739999999992,-2.6418192727000003
undec-10-enoic acid,3.3778000000000024,184.27899999999997,9.0,1.0,1.0,0.0,54.76880000000004,-3.5528261452
"carboxymethyldimethyl-3-[[(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)sulphonyl]amino]propylammonium hydroxide",2.2511,570.3679999999999,14.0,4.0,1.0,0.0,88.66290000000002,-4.0571851475
2-benzyl-2-(dimethylamino)-1-[4-(morpholin-4-yl)phenyl]butan-1-one,3.6590000000000025,366.50500000000017,7.0,4.0,0.0,0.4444444444444444,110.65950000000008,-4.7932278922
"4-(4,6-dimethylheptan-2-yl)phenol; 4-(5,6-dimethylheptan-2-yl)phenol; 4-(5,6-dimethylheptyl)phenol; 4-(7-methyloctyl)phenol",4.541200000000005,220.35600000000002,7.0,1.0,1.0,0.375,69.73380000000004,-4.587250024599999
"1,3-bis(prop-1-en-2-yl)benzene",3.7528000000000024,158.24399999999994,2.0,0.0,0.0,0.5,55.858000000000025,-4.4511392252
molybdenum,-0.0025,95.94,0.0,0.0,0.0,0.0,0.0,-4.2038484637
"ethenyl 2,2-dimethyloctanoate",3.6697000000000024,198.30599999999998,6.0,2.0,0.0,0.0,58.829000000000036,-4.581332510899999
1-tert-butyl-4-methylbenzene,3.2925200000000014,148.249,0.0,0.0,0.0,0.5454545454545454,49.879000000000026,-4.4720217682
cyclohexanecarboxylic acid,1.6513,128.17100000000002,1.0,1.0,1.0,0.0,34.21079999999999,-1.445031941
"pentasodium 5-{[4-chloro-6-({3-[2-(sulfonatooxy)ethanesulfonyl]phenyl}amino)-1,3,5-triazin-2-yl]amino}-3-[(E)-2-(1,5-disulfonatonaphthalen-2-yl)diazen-1-yl]-4-hydroxynaphthalene-2,7-disulfonate",-14.301299999999994,1136.3280000000002,15.0,26.0,3.0,0.4057971014492754,212.88839999999985,-0.4108977358
"N,N'-bis(3-phenylprop-2-en-1-ylidene)hexane-1,6-diamine",6.115200000000006,344.502,11.0,2.0,0.0,0.46153846153846156,116.13800000000003,-3.8937390711
"2-(benzotriazol-2-yl)-6-[[3-(benzotriazol-2-yl)-2-hydroxy-5-(2,4,4-trimethylpentan-2-yl)phenyl]methyl]-4-(2,4,4-trimethylpentan-2-yl)phenol",9.583999999999996,658.8910000000001,8.0,8.0,2.0,0.6122448979591837,198.0615999999994,-7.973715535399999
[2-({4-[(E)-2-(2-chloro-4-nitrophenyl)diazen-1-yl]phenyl}(ethyl)amino)ethyl]trimethylazanium chloride,2.200100000000001,426.3480000000001,8.0,5.0,0.0,0.42857142857142855,109.51080000000007,-3.0386996230000003
"2-(morpholin-4-ylsulfanyl)-1,3-benzothiazole",2.635600000000001,252.364,2.0,5.0,0.0,0.5625,67.86900000000003,-3.8109627954
"(1R-(1alpha,2beta,4beta,6alpha))-2,2,7-Trimethyl-3-oxatricyclo(4.1.1.02,4)octane",2.2099,152.237,0.0,1.0,0.0,0.0,43.27300000000001,-2.5936884915
"tetrasodium 7-[(E)-2-[2-(carbamoylamino)-4-{[4-chloro-6-({3-[2-(sulfonatooxy)ethanesulfonyl]phenyl}amino)-1,3,5-triazin-2-yl]amino}phenyl]diazen-1-yl]naphthalene-1,3,6-trisulfonate",-9.94980000000002,1026.2630000000001,15.0,23.0,4.0,0.4444444444444444,197.20809999999986,-0.4261364852
"disodium 7-{[4-chloro-6-(dodecylamino)-1,3,5-triazin-2-yl]amino}-4-hydroxy-3-(2-{4-[2-(4-sulfonatophenyl)diazen-1-yl]phenyl}diazen-1-yl)naphthalene-2-sulfonate",4.107200000000002,868.35,20.0,16.0,3.0,0.4827586206896552,211.22859999999957,-3.358911212
S-ethyl dipropylthiocarbamate,2.9815000000000014,189.32399999999998,5.0,2.0,0.0,0.0,55.683000000000035,-2.7031744039
2-[({4-[(oxiran-2-ylmethoxy)methyl]cyclohexyl}methoxy)methyl]oxirane,1.6236,256.342,8.0,4.0,0.0,0.0,66.56600000000007,-1.8357972344
"1-hydroxy-4-methyl-6-(2,4,4-trimethylpentyl)pyridin-2(1H)-one - 2-aminoethanol (1:1)",1.9462199999999998,298.427,4.0,5.0,3.0,0.2857142857142857,85.70370000000005,-3.9054642035
pentacalcium hydroxide triphosphate,-10.5546,502.30700000000024,0.0,13.0,0.0,0.0,53.52530000000001,-4.1419008964
"6H-dibenzo[c,e][1,2]oxaphosphinine 6-oxide",4.328400000000002,215.16799999999998,0.0,2.0,0.0,0.9333333333333333,61.32650000000002,-1.7796231349
ethenyl benzoate,1.9868999999999999,148.16099999999997,2.0,2.0,0.0,0.5454545454545454,42.054500000000026,-2.6229591952
methyl 4-tert-butylbenzoate,2.7707000000000015,192.25799999999998,1.0,2.0,0.0,0.42857142857142855,56.48150000000004,-3.7398163758
"2,2-dimethyl-3-(3-methylphenyl)propan-1-ol",2.556020000000001,178.275,3.0,1.0,1.0,0.46153846153846156,55.749800000000036,-2.8265354685000004
"(2E)-3,7-dimethylocta-2,6-dien-1-yl acetate",3.242200000000002,196.29,5.0,2.0,0.0,0.0,59.055000000000035,-3.7549532157
"2-{6,6-dimethylbicyclo[3.1.1]hept-2-en-2-yl}ethan-1-ol",2.3612,166.264,2.0,1.0,1.0,0.0,49.780800000000035,-2.6959998037
"3,3,5-trimethylcyclohexanone",2.401700000000001,140.22599999999997,0.0,1.0,0.0,0.0,41.80300000000001,-1.6471414632
2-(2-phenylphenoxy)ethyl prop-2-enoate,3.4616000000000016,268.312,6.0,3.0,0.0,0.6,78.52900000000005,-3.9515188418
"3-[(3-sulfanylpropanoyl)oxy]-2,2-bis({[(3-sulfanylpropanoyl)oxy]methyl})propyl 3-sulfanylpropanoate",1.4251999999999998,488.67100000000033,16.0,12.0,4.0,0.0,120.14900000000004,-5.1231687481
"4-[2-(4-hydroxy-3,5-dimethylphenyl)propan-2-yl]-2,6-dimethylphenol",4.657380000000004,284.399,2.0,2.0,2.0,0.5714285714285714,87.28960000000004,-4.952868802799999
"1,3-bis(octadecanoyloxy)propan-2-yl octadecanoate",18.769099999999984,891.500999999999,53.0,6.0,0.0,0.0,270.43599999999896,-5.4730005799
"ethyl 3,5,5-trimethylhexanoate",3.0119000000000016,186.29499999999996,4.0,2.0,0.0,0.0,54.48600000000005,-3.8230431676
calcium oxosilanebis(olate),-3.2584,116.161,0.0,3.0,0.0,0.0,12.1945,-2.6500869941
5-Ethyl-2-methylpyridine,1.9524199999999998,121.18299999999998,1.0,1.0,0.0,0.6666666666666666,38.35200000000001,-1.0042604536
"(1R,2S,5R)-5-methyl-2-(propan-2-yl)cyclohexyl (2S)-2-hydroxypropanoate",2.3712000000000004,228.332,3.0,3.0,1.0,0.0,62.90380000000005,-2.9799872046
Prednisolone,1.5575999999999999,360.4500000000002,2.0,5.0,3.0,0.0,95.04840000000004,-3.1784471289
"disodium 5-methyl-2-({4-[(4-methyl-2-sulfonatophenyl)amino]-9,10-dioxo-9,10-dihydroanthracen-1-yl}amino)benzene-1-sulfonate",-1.6177599999999943,622.5880000000003,6.0,10.0,2.0,0.5714285714285714,144.59879999999987,-1.4270312571
dialuminium(3+) ion dimolybdenum nonaoxidandiide,-1.8357999999999999,389.835,0.0,0.0,0.0,0.0,17.686499999999995,-4.2291529922
2-phenoxyethyl 2-methylprop-2-enoate,2.1847000000000003,206.241,5.0,3.0,0.0,0.4,57.710000000000036,-2.9526471698
"5-{[2-(2-butoxyethoxy)ethoxy]methyl}-6-propyl-2H-1,3-benzodioxole",3.7177000000000024,338.44400000000013,13.0,5.0,0.0,0.25,92.76200000000007,-4.1510889183
fluoromethane,0.5857,34.033,0.0,0.0,0.0,0.0,7.032,-0.17587437649999998
(2-phenoxyethoxy)benzene,3.144400000000002,214.26399999999998,5.0,2.0,0.0,0.75,63.87400000000004,-3.9885265275
"4-[(4-amino-2-chloro-3,5-diethylphenyl)methyl]-3-chloro-2,6-diethylaniline",5.998200000000005,379.37500000000017,6.0,2.0,2.0,0.48,112.04680000000003,-7.2780387128
"sodium 1-amino-9,10-dioxo-4-({2,4,6-trimethyl-3-[(phenylformamido)methyl]phenyl}amino)-9,10-dihydroanthracene-2-sulfonate",1.5511600000000008,591.6210000000003,6.0,8.0,3.0,0.5714285714285714,153.67249999999981,-1.4396051212999998
2-propylpentanoic acid,2.2874,144.214,5.0,1.0,1.0,0.0,40.9418,-1.8579774272
zinc di(benzothiazol-2-yl) disulphide,4.401700000000002,397.8900000000001,0.0,6.0,0.0,0.8571428571428571,90.50200000000001,-4.285895804
2-(2-{[2-(oxiran-2-ylmethoxy)phenyl]methyl}phenoxymethyl)oxirane; 2-(2-{[4-(oxiran-2-ylmethoxy)phenyl]methyl}phenoxymethyl)oxirane; 2-(4-{[4-(oxiran-2-ylmethoxy)phenyl]methyl}phenoxymethyl)oxirane,1.8312999999999997,216.66399999999993,1.0,3.0,1.0,0.42857142857142855,55.68780000000003,-4.0347567611
"3-[(2E)-oct-2-en-1-yl]oxolane-2,5-dione; 3-[(2Z)-oct-2-en-1-yl]oxolane-2,5-dione",2.6027000000000005,210.27299999999994,6.0,3.0,0.0,0.0,57.105000000000025,-4.0217535152
2-(chloromethyl)oxirane; 4-[2-(4-hydroxyphenyl)propan-2-yl]phenol; 2-methylprop-2-enoic acid,4.694800000000003,406.9060000000002,4.0,4.0,3.0,0.42857142857142855,111.25140000000003,-5.229282852
"(1S,5S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",2.9987000000000013,136.238,0.0,0.0,0.0,0.0,43.75200000000002,-4.7725704235
trimethyl[(trimethylsilyl)oxy]silane,2.6728000000000005,162.38099999999997,2.0,1.0,0.0,0.0,47.77700000000003,-4.909505216
"2,3,3,3-tetrafluoroprop-1-ene",2.0319000000000003,114.04100000000001,0.0,0.0,0.0,0.0,16.303,-2.7599573667
2H-chromen-2-one,1.793,146.14499999999998,0.0,2.0,0.0,0.9090909090909091,42.484000000000016,-1.8860303607
1-methyl-4-(prop-1-en-2-yl)cyclohex-1-ene,3.308900000000002,136.238,1.0,0.0,0.0,0.0,45.91200000000003,-3.8464965295
"hydrogen [4-[[4-(diethylamino)-o-tolyl][4-[ethyl(3-sulphonatobenzyl)amino]phenyl]methylene]cyclohexa-2,5-dien-1-ylidene](ethyl)(3-sulphonatobenzyl)ammonium, sodium salt",4.725610000000006,775.969,16.0,9.0,0.0,0.5555555555555556,210.4313999999994,-0.6229779303
tungsten(4+) ion disulfanediide,1.2939,247.97400000000002,0.0,2.0,0.0,0.0,15.182,-4.1391336425
disodium 5-[(E)-2-(5-hydroxy-3-methyl-1-phenyl-1H-pyrazol-4-yl)diazen-1-yl]-2-{4-[(E)-2-(5-hydroxy-3-methyl-1-phenyl-1H-pyrazol-4-yl)diazen-1-yl]-2-sulfonatophenyl}benzene-1-sulfonate,-1.0801999999999898,758.7060000000004,9.0,14.0,0.0,0.46153846153846156,178.48639999999966,-1.642781181
"(1R,2R,4R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl acetate (1S,2S,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl acetate",2.7643000000000013,196.29,1.0,2.0,0.0,0.0,54.78300000000005,-3.0887781924
dioxido-oxosilane; lead(+2) cation,-3.2584,283.283,0.0,3.0,0.0,0.0,12.1945,-6.6197116003
2-methyl-1-phenylpropan-2-yl butanoate,3.3510000000000018,220.31199999999998,5.0,2.0,0.0,0.375,65.22500000000005,-4.1359426126
"disodium 4,4'-[(2,4-dihydroxy-1,3-phenylene)didiazene-2,1-diyl]dinaphthalene-1-sulfonate",-4.739199999999995,622.5480000000001,6.0,12.0,2.0,0.6190476190476191,143.54779999999985,-2.6038411441
1-[(1-propoxypropan-2-yl)oxy]propan-2-ol,1.1988999999999999,176.25599999999997,7.0,3.0,1.0,0.0,48.20480000000003,-0.0700526508
"5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane",2.2430000000000003,222.28799999999995,3.0,4.0,0.0,0.0,60.637000000000036,-4.1708247593
"octadec-9-enoic acid - N-(2-aminoethyl)ethane-1,2-diamine (1:1)",4.601900000000001,385.6370000000001,19.0,4.0,4.0,0.0,118.06630000000007,-4.4100874366000005
1-[2-[[4-[(2-chloro-4-nitrophenyl)azo]phenyl]ethylamino]ethyl]pyridinium acetate,4.233800000000003,469.92900000000026,8.0,7.0,0.0,0.5454545454545454,123.92940000000007,-1.5218900849
diphenyl carbonate,3.264400000000002,214.21999999999997,2.0,3.0,0.0,0.75,59.53600000000003,-4.2169166627
vinyl 2-ethylhexanoate,2.8895000000000017,170.25199999999998,6.0,2.0,0.0,0.0,49.59500000000003,-4.1519109764
2-methyl-N-[(2-methylprop-2-enamido)methyl]prop-2-enamide,0.32850000000000007,182.22299999999998,4.0,2.0,2.0,0.0,50.78040000000002,-1.1892367555
"(1Z,5Z)-cycloocta-1,5-diene",2.6728000000000014,108.184,0.0,0.0,0.0,0.0,36.748000000000005,-2.9659771733
(3-isocyanatopropyl)trimethoxysilane,0.5903999999999998,205.286,7.0,5.0,0.0,0.0,49.19350000000003,-3.2569810012
(3-chloropropyl)triethoxysilane,2.6637000000000013,240.80299999999994,9.0,3.0,0.0,0.0,60.776000000000046,-3.3285834497000004
"1,2-dibutyl benzene-1,2-dicarboxylate",3.600400000000003,278.348,8.0,4.0,0.0,0.3,76.82300000000005,-4.3876832538
"sodium 3-{[9,10-dioxo-4-({2,4,6-trimethyl-3-[(sodiooxy)sulfonyl]phenyl}amino)-9,10-dihydroanthracen-1-yl]amino}-2,4,6-trimethylbenzene-1-sulfonate",-0.3840799999999942,678.6960000000004,6.0,10.0,2.0,0.5217391304347826,163.5467999999997,-1.7922611704
"4-benzoylbenzene-1,2,3-triol",2.0343999999999993,230.219,2.0,4.0,3.0,0.7058823529411765,61.31090000000003,-3.3451078238
"3-[(2E)-dodec-2-en-1-yl]oxolane-2,5-dione; 3-[(2Z)-dodec-2-en-1-yl]oxolane-2,5-dione",4.163100000000004,266.381,10.0,3.0,0.0,0.0,75.57300000000005,-4.4255032449
"dihydro-3-(tetrapropenyl)furan-2,5-dione",3.730800000000003,266.381,6.0,3.0,0.0,0.0,75.36300000000004,-4.4255032449
{2-hydroxy-3-[(9Z)-octadec-9-enoyloxy]propoxy}boronic acid 2-hydroxy-3-{[hydroxy({2-hydroxy-3-[(9Z)-octadec-9-enoyloxy]propoxy})boranyl]oxy}propyl (9Z)-octadec-9-enoate 3-{[bis({2-hydroxy-3-[(9Z)-octadec-9-enoyloxy]propoxy})boranyl]oxy}-2-hydroxypropyl (9Z)-octadec-9-enoate,29.64000000000008,2216.691000000001,120.0,27.0,9.0,0.0,638.1372000000025,-5.345705158
4-(decanoyloxy)benzoic acid,4.430900000000003,292.37500000000006,10.0,3.0,1.0,0.2857142857142857,81.64630000000005,-5.4245475497000015
"4,4,13,13-tetraethoxy-3,14-dioxa-8,9-dithia-4,13-disilahexadecane",5.244800000000006,474.8340000000004,21.0,8.0,0.0,0.0,125.02800000000008,-5.6765418086000015
3-methylbutyl (2E)-3-(4-methoxyphenyl)prop-2-enoate,3.2977000000000025,248.32199999999995,6.0,3.0,0.0,0.3333333333333333,72.44200000000005,-5.4919252104
2-(hexadecanoylamino)acetic acid,4.6685000000000025,313.482,16.0,2.0,2.0,0.0,90.95750000000008,-5.593122621900001
"(1E,5E,9E)-cyclododeca-1,5,9-triene",4.009200000000003,162.276,0.0,0.0,0.0,0.0,55.122000000000035,-5.3651562541
"bis({[bis(3,5,5-trimethylhexyl)carbamothioyl]sulfanyl})zinc",13.388699999999977,754.6979999999995,18.0,4.0,0.0,0.0,214.935999999999,-6.1025269393
2-[4-(bromomethyl)phenyl]benzonitrile,4.120180000000003,272.14500000000004,2.0,1.0,0.0,0.75,69.22400000000003,-6.6566491092
"2,2,6,6-tetramethylpiperidin-4-yl hexadecanoate 2,2,6,6-tetramethylpiperidin-4-yl octadecanoate",15.420399999999969,819.3979999999995,32.0,6.0,2.0,0.0,250.67339999999882,-6.2145248951999985
N-(2-ethylhexyl)-7-methyloctanamide,4.925500000000005,269.47299999999996,12.0,1.0,1.0,0.0,84.23870000000007,-5.731545252999999
Doramectin,5.911600000000007,899.1279999999997,7.0,14.0,3.0,0.0,234.42539999999906,-7.5558815137
"1,1':4',1''-terphenyl",5.0206000000000035,230.31,2.0,0.0,0.0,1.0,77.31400000000005,-6.183335848
pyrene,4.584000000000002,202.25599999999997,0.0,0.0,0.0,1.0,70.14600000000003,-6.1787966156
"1,4-dibutyl benzene-1,4-dicarboxylate",3.600400000000003,278.348,8.0,4.0,0.0,0.3,76.82300000000005,-6.40319542
1-(2-ethylbutyl)cyclohexane-1-carbonitrile,4.286780000000004,193.33399999999997,4.0,1.0,0.0,0.0,59.82000000000005,-6.5873382321000005
1-(4-methoxyphenyl)-4-(4-nitrophenyl)piperazine,2.9300000000000015,313.35699999999997,4.0,5.0,0.0,0.5217391304347826,90.51640000000003,-6.9290130346000005
bis(8-methylnonyl) sebacate,9.186800000000003,482.7900000000005,25.0,4.0,0.0,0.0,143.93399999999986,-7.2523945018
"6'-(dibutylamino)-3'-methyl-2'-(phenylamino)-3H-spiro[2-benzofuran-1,9'-xanthene]-3-one",8.713220000000003,532.6840000000002,9.0,5.0,1.0,0.6,161.1881999999996,-7.4042503575
"2,2-difluoro-1,3-benzodioxole-4-carbaldehyde",1.8205999999999996,186.11299999999997,1.0,3.0,0.0,0.46153846153846156,38.03250000000001,-2.1558333574
"1-amino-4-(ethylamino)-9,10-dioxo-9,10-dihydroanthracene-2-carbonitrile",2.3476800000000004,291.31,2.0,5.0,2.0,0.5454545454545454,83.04010000000002,-7.6382805905
(3-aminopropyl)[(9Z)-octadec-9-en-1-yl]amine; bis((9Z)-octadec-9-enoic acid),18.179299999999984,889.5329999999993,49.0,4.0,4.0,0.0,280.1686999999993,-8.2501920599
"2-ethylhexyl 4-[(4-{[4-(tert-butylcarbamoyl)phenyl]amino}-6-[(4-{[(2-ethylhexyl)oxy]carbonyl}phenyl)amino]-1,3,5-triazin-2-yl)amino]benzoate",10.377099999999993,765.9999999999998,21.0,11.0,4.0,0.42857142857142855,223.39729999999926,-8.1852587653
dioxovanadium,-0.2401,82.94,0.0,2.0,0.0,0.0,1.3730000000000002,-4.4002500912
1-dodecylpyridin-1-ium chloride,1.8989999999999991,283.88699999999994,11.0,0.0,0.0,0.3157894736842105,78.48100000000007,-0.4539105371
"2-(2,6-dimethylphenoxy)acetic acid",1.76684,180.20299999999997,3.0,2.0,1.0,0.46153846153846156,49.04680000000002,-2.2566445306
"({bis[(2-ethylhexanoyl)oxy]-2,4-dioxa-3-bora-1,5-dicobaltapentan-3-yl}oxy)cobaltio 2-ethylhexanoate",6.037400000000007,665.226,23.0,9.0,0.0,0.0,127.2030000000001,-1.8254561435
"disodium 4-[(E)-2-[2,6-dihydroxy-3-(hydroxymethyl)-5-[(E)-2-(4-sulfonatonaphthalen-1-yl)diazen-1-yl]phenyl]diazen-1-yl]naphthalene-1-sulfonate",-5.246899999999993,652.5740000000003,7.0,13.0,3.0,0.5909090909090909,149.47059999999985,-0.8171647444
1-(4-hydroxyphenyl)ethan-1-one,1.5948,136.14999999999998,1.0,2.0,1.0,0.6,38.111300000000014,-1.1383824511
calcium magnesium(2+) ion dioxidandiide,-0.9992000000000001,96.381,0.0,0.0,0.0,0.0,12.880999999999998,-1.9883562334
disodium 3-[(E)-2-{4-[(E)-2-(7-amino-1-hydroxy-3-sulfonatonaphthalen-2-yl)diazen-1-yl]naphthalen-1-yl}diazen-1-yl]-2-hydroxybenzoate,-0.9071999999999971,601.5080000000004,6.0,12.0,3.0,0.6190476190476191,142.72569999999988,-2.7868204517
"6,10-dimethylundeca-3,5,9-trien-2-one",3.8243000000000027,192.302,5.0,1.0,0.0,0.0,62.24300000000004,-3.2972120668
"1,3-divinylimidazolidin-2-one",1.0110000000000001,138.17,2.0,1.0,0.0,0.0,39.20200000000001,-1.1558864442
2-amino-4-nitrophenol,0.8825999999999998,154.12499999999997,1.0,4.0,2.0,0.5454545454545454,39.17360000000001,-2.2056018566
magnesium,-0.3808,24.305,0.0,0.0,0.0,0.0,5.754,-2.4020693383
oxocalcium,-0.49960000000000004,56.077000000000005,0.0,1.0,0.0,0.0,6.440499999999999,-1.7683268794999998
"5-nitro-1,3-dihydro-2H-benzimidazol-2-one",0.7643999999999997,179.135,1.0,3.0,2.0,0.6923076923076923,45.5738,-3.2740875474
5-methyl-5-phenylhexan-3-one,0.8504000000000003,321.38300000000004,3.0,5.0,1.0,0.2857142857142857,79.50750000000002,-3.5292992951
2-ethyl-3-hydroxy-4H-pyran-4-one,0.9077999999999999,140.13799999999995,1.0,3.0,1.0,0.6,36.0208,-1.1759580204
methyl 2-phenylacetate,1.4021,150.177,2.0,2.0,0.0,0.5454545454545454,42.162000000000035,-2.2114017234
lead; sulfuric acid; hydrate,-1.8582999999999998,323.29400000000004,0.0,2.0,2.0,0.0,23.5452,-4.2262964158999985
1-chloro-2-methyl-3-nitrobenzene,2.5566200000000006,171.58299999999997,1.0,2.0,0.0,0.5454545454545454,42.84340000000001,-3.2706864295
calcium dihydroxide,-0.7343999999999999,74.09200000000001,0.0,2.0,0.0,0.0,9.6256,-1.9107299257
silicon(+4) cation tetraphosphate,-12.440800000000001,464.13800000000015,0.0,16.0,0.0,0.0,47.68800000000001,-3.0559869634
1-chlorohexane,2.805500000000001,120.623,4.0,0.0,0.0,0.0,34.861999999999995,-3.1223887332
"2,2,2-trifluoroethyl methacrylate",1.6680000000000001,168.11399999999998,2.0,2.0,0.0,0.0,31.82799999999999,-2.2684756839
bismuth hydroxide nitrate oxide,-1.4038,394.99200000000013,6.0,9.0,0.0,0.0,29.992200000000004,-2.642008137
octan-2-one,2.5458000000000007,128.215,5.0,1.0,0.0,0.0,39.44000000000001,-2.1536963273
2-[(E)-oct-2-enyl]butanedioic acid,2.6885,228.28799999999995,9.0,2.0,2.0,0.0,61.27760000000003,-2.4042405739
"2-(prop-1-en-1-yl)-2,3,3-tripropylbutanedioic acid",4.104800000000003,284.39599999999996,10.0,2.0,2.0,0.0,79.67560000000006,-3.4953596006
17-hydroxy-1-methylandrost-4-en-3-one,4.125200000000003,302.458,0.0,2.0,1.0,0.0,87.26380000000006,-3.5264225666000004
