Name,Octanol-water partition coefficient,Molecular weight,Number of rotatable bonds,HAcceptors,HDonor,valence Electron,Aromatic Proportion,logS
GOATZYAVXMPVQD-UHFFFAOYSA-N,8.729199999999997,867.2340000000002,21.0,8.0,2.0,218.0,0.3157894736842105,-12.00111017
PZPPOCZWRGNKIR-PNVYSBBASA-N,1.3339999999999999,696.8580000000001,3.0,12.0,4.0,238.0,0.2608695652173913,-11.97802288
MBWXNTAXLNYFJB-NKFFZRIASA-N,9.157600000000002,450.7070000000003,14.0,2.0,0.0,182.0,0.18181818181818182,-11.96104738
VWZAGCZUPZKTET-UHFFFAOYSA-N,6.783000000000006,710.9789999999999,22.0,10.0,4.0,280.0,0.24489795918367346,-11.85315733
BIADSXOKHZFLSN-YEUOVSOVSA-N,8.869200000000005,428.74500000000035,6.0,1.0,1.0,178.0,0.0,-11.79334998
ONXPZLFXDMAPRO-UHFFFAOYSA-N,9.8876,498.66200000000003,1.0,0.0,0.0,118.0,0.5454545454545454,-11.62
AVBZMYRNHKNVAW-DSPABWSOSA-N,4.563870000000004,489.18800000000044,18.0,2.0,2.0,192.0,0.29411764705882354,-11.53413709
FEQOTXWZPMPKGW-UHFFFAOYSA-N,8.082800000000006,458.5160000000002,1.0,2.0,0.0,166.0,0.8888888888888888,-11.53102072
YKSGNOMLAIJTLT-UHFFFAOYSA-N,8.160000000000004,456.50000000000017,0.0,2.0,0.0,164.0,0.8888888888888888,-11.51331275
ZPACYDRSPFRDHO-ROBAGEODSA-N,8.421700000000005,400.6470000000003,14.0,2.0,0.0,164.0,0.0,-11.4756571
FYPMFJGVHOHGLL-UHFFFAOYSA-N,9.908299999999993,516.8570000000003,4.0,4.0,2.0,196.0,0.34285714285714286,-11.36117614
VIQCGTZFEYDQMR-UHFFFAOYSA-N,7.999700000000009,591.7840000000004,15.0,6.0,0.0,226.0,0.2926829268292683,-11.35885907
OYIBHXRZSMTHLW-XIDBHWPPSA-N,6.690200000000005,436.84599999999995,3.0,2.0,0.0,132.0,0.48,-11.32225509
QEFDFGVDVZTFAK-GGXMVOPNSA-N,7.2646000000000095,647.6370000000002,25.0,8.0,2.0,244.0,0.13953488372093023,-11.31996592
IDWDXHQLOMJDRU-UHFFFAOYSA-N,7.721400000000009,589.6010000000001,23.0,6.0,2.0,222.0,0.15384615384615385,-11.28911114
WWVAPFRKZMUPHZ-UHFFFAOYSA-N,6.134400000000005,1287.9219999999993,19.0,8.0,4.0,242.0,0.2727272727272727,-11.20897751
RCUAUWPBLXTBGM-UHFFFAOYSA-N,7.8119000000000085,543.8400000000004,16.0,3.0,1.0,218.0,0.25,-11.027901
DDWKCBUSQTZBMR-UHFFFAOYSA-N,8.850180000000003,525.8250000000004,15.0,3.0,0.0,210.0,0.2564102564102564,-11.02187123
WIYZZHWXZCULNY-DHKWPOFJSA-N,4.173770000000004,475.1610000000005,17.0,2.0,2.0,186.0,0.30303030303030304,-11.01502535
ZLHXGWFOXJVXPN-DHKWPOFJSA-N,4.173770000000004,475.1610000000003,17.0,2.0,2.0,186.0,0.30303030303030304,-11.01502535
MNULEGDCPYONBU-ZZTRBZRQSA-N,5.882600000000006,791.0759999999998,3.0,11.0,5.0,320.0,0.0,-10.92140987
JXMIBUGMYLQZGO-UHFFFAOYSA-N,5.337600000000003,1215.8149999999994,14.0,7.0,4.0,212.0,0.3076923076923077,-10.9116823
MYPYJXKWCTUITO-LYRMYLQWSA-N,0.10620000000000868,1449.271,13.0,25.0,19.0,542.0,0.297029702970297,-10.8755905
MQYXUWHLBZFQQO-QGTGJCAVSA-N,8.02480000000001,426.7290000000002,1.0,1.0,1.0,176.0,0.0,-10.84482232
FTQDJVZNPJRVPG-XWEVEMRCSA-N,6.9834000000000085,512.7310000000004,2.0,4.0,1.0,206.0,0.0,-10.59594624
USDIZUOMBXWPLQ-FJBFXRHMSA-N,3.7836700000000034,461.13400000000036,16.0,2.0,2.0,180.0,0.3125,-10.49356261
CNYRGVIFIXLHHK-FJBFXRHMSA-N,3.7836700000000025,461.13400000000047,16.0,2.0,2.0,180.0,0.3125,-10.49356261
XIFFTDRFWYFAPO-UHFFFAOYSA-N,9.2342,464.2170000000001,1.0,0.0,0.0,112.0,0.5714285714285714,-10.41
DLVULIKDGUJXMV-UHFFFAOYSA-N,7.984400000000004,737.4960000000003,23.0,8.0,2.0,218.0,0.3157894736842105,-10.38202647
JMPFSEBWVLAJKM-UHFFFAOYSA-N,7.124400000000003,663.0799999999999,4.0,3.0,2.0,152.0,0.6,-10.347346400000001
OFHCOWSQAMBJIW-AVJTYSNKSA-N,6.589800000000009,400.6470000000002,6.0,2.0,2.0,164.0,0.0,-10.32860405
JFIMDKGRGPNPRQ-UHFFFAOYSA-N,9.2342,464.2170000000001,1.0,0.0,0.0,112.0,0.5714285714285714,-10.26
UBDWKOZBPSKHMO-UHFFFAOYSA-N,6.815200000000008,468.7260000000003,17.0,4.0,0.0,190.0,0.35294117647058826,-10.25096331
QYIXCDOBOSTCEI-FBVYSKEZSA-N,7.46860000000001,388.6800000000002,5.0,1.0,1.0,162.0,0.0,-10.05051608
COQAPWLZSHQTKA-MSDOJSJISA-N,5.627100000000006,544.6440000000002,5.0,7.0,1.0,210.0,0.15,-10.05037097
KQXDHUJYNAXLNZ-XQSDOZFQSA-N,6.188000000000007,751.0110000000001,12.0,10.0,4.0,304.0,0.0,-10.00995023
ZDMXWGVLXYXVTN-XKRXHFONSA-N,8.201000000000006,487.6440000000003,14.0,2.0,2.0,188.0,0.0,-10.00056858
PXBIAYSAZBFYQQ-LXCLTORNSA-N,3.393570000000002,447.1070000000004,15.0,2.0,2.0,174.0,0.3225806451612903,-9.974630214
IQOILDYEBKDJQN-LXCLTORNSA-N,3.393570000000002,447.1070000000004,15.0,2.0,2.0,174.0,0.3225806451612903,-9.974630214
HWNQHNPAOQSMFI-LXCLTORNSA-N,3.393570000000003,447.1070000000003,15.0,2.0,2.0,174.0,0.3225806451612903,-9.974630214
SRGLANFDNQAVFW-LXCLTORNSA-N,3.393570000000002,447.1070000000004,15.0,2.0,2.0,174.0,0.3225806451612903,-9.974630214
MIJYXULNPSFWEK-GTOFXWBISA-N,7.233600000000008,456.71100000000035,1.0,2.0,2.0,186.0,0.0,-9.925642185
BQJJCIYAPLCGJD-UHFFFAOYSA-N,8.2928,689.4300000000003,21.0,8.0,2.0,218.0,0.3157894736842105,-9.878475187000001
RVVVMCHNTQXDPI-UHFFFAOYSA-N,7.530400000000008,396.6150000000002,4.0,2.0,2.0,160.0,0.41379310344827586,-9.868394839
WVTKBKWTSCPRNU-KYJUHHDHSA-N,7.162400000000009,622.7620000000003,4.0,8.0,0.0,240.0,0.5217391304347826,-9.864392559
LRWSFOSWNAQHHW-UHFFFAOYSA-N,6.829400000000008,549.7030000000002,12.0,6.0,0.0,208.0,0.3157894736842105,-9.794162679
HALWUDBBYKMYPW-UHFFFAOYSA-M,4.582900000000004,596.8150000000004,6.0,5.0,0.0,220.0,0.2926829268292683,-9.791302251
DDOXROFFXDWGCO-UHFFFAOYSA-N,5.881200000000006,400.61000000000007,4.0,2.0,2.0,158.0,0.4,-9.7376178
KMDLOETUWUPGMB-GSTUHXICSA-N,6.130940000000004,380.4510000000001,4.0,5.0,1.0,142.0,0.6206896551724138,-9.733343394
OBZHEBDUNPOCJG-SMVPYXKTSA-N,6.828300000000008,570.7670000000005,5.0,5.0,2.0,228.0,0.0,-9.689760328
ICTGRDPWQUONIY-UHFFFAOYSA-N,6.427600000000007,499.65400000000017,10.0,3.0,2.0,190.0,0.7894736842105263,-9.630483498
ITPDYQOUSLNIHG-UHFFFAOYSA-N,7.358000000000008,681.7799999999999,11.0,4.0,0.0,174.0,0.46875,-9.578370491
PPJYSSNKSXAVDB-UHFFFAOYSA-N,5.230000000000002,747.83,4.0,3.0,2.0,116.0,0.5454545454545454,-9.508316042999999
GUPWKIBOCFKLBR-UHFFFAOYSA-M,4.2302000000000035,617.5070000000003,12.0,3.0,0.0,200.0,0.17142857142857143,-9.498385828
QBEFIFWEOSUTKV-UHFFFAOYSA-N,7.456700000000008,370.57700000000017,6.0,2.0,1.0,150.0,0.2222222222222222,-9.471968448
HFVNWDWLWUCIHC-GUPDPFMOSA-N,5.415400000000005,646.6520000000002,12.0,7.0,2.0,240.0,0.13636363636363635,-9.468243915
PJGOWSFDWNQUOK-JTHROIFXSA-N,3.003470000000001,433.0800000000004,14.0,2.0,2.0,168.0,0.3333333333333333,-9.454721532
VCZAWDPRDDWJMS-JTHROIFXSA-N,3.003470000000002,433.0800000000004,14.0,2.0,2.0,168.0,0.3333333333333333,-9.454721532
NSMHQGXGMBMVIK-JTHROIFXSA-N,3.003470000000002,433.08000000000027,14.0,2.0,2.0,168.0,0.3333333333333333,-9.454721532
GXFHMHYIPXHRDE-JTHROIFXSA-N,3.003470000000001,433.08000000000027,14.0,2.0,2.0,168.0,0.3333333333333333,-9.454721532
YCOZIPAWZNQLMR-UHFFFAOYSA-N,6.097500000000006,212.42099999999994,12.0,0.0,0.0,92.0,0.0,-9.446383877
KJSWIAZTEMACJB-UHFFFAOYSA-N,-0.616599999999992,469.6700000000002,19.0,0.0,2.0,186.0,0.0,-9.42136727
IGVGULKYVNFIOV-SPIKMXEPSA-N,5.232500000000003,748.8290000000005,9.0,8.0,4.0,286.0,0.43636363636363634,-9.407515023
HIYAVKIYRIFSCZ-CYEMHPAKSA-N,5.529800000000005,523.6300000000003,7.0,7.0,3.0,204.0,0.3684210526315789,-9.405368174
IYIKLHRQXLHMJQ-UHFFFAOYSA-N,6.9362000000000075,645.3189999999998,11.0,4.0,0.0,166.0,0.4838709677419355,-9.35875668
NQERQCNWHNKCSA-UHFFFAOYSA-N,7.204200000000007,709.4420000000003,21.0,8.0,2.0,206.0,0.3333333333333333,-9.34170213
RJEKQCDPXXLTSK-UHFFFAOYSA-N,7.204200000000007,709.4420000000003,21.0,8.0,2.0,206.0,0.3333333333333333,-9.34170213
VPUGDVKSAQVFFS-UHFFFAOYSA-N,6.919200000000004,300.36,0.0,0.0,0.0,108.0,1.0,-9.3299999
WYQWZFORYHRFBW-UHFFFAOYSA-N,7.766200000000005,648.5940000000003,23.0,8.0,2.0,218.0,0.3157894736842105,-9.321997031
HSTCMJJFYYQQRG-UHFFFAOYSA-N,6.365720000000004,598.0070000000002,8.0,8.0,1.0,216.0,0.627906976744186,-9.267501588
IWYNVAJACBPVLT-UHFFFAOYSA-N,3.682640000000001,574.7660000000003,11.0,6.0,2.0,226.0,0.47619047619047616,-9.25298603
RMIXHJPMNBXMBU-QIIXEHPYSA-N,6.0220000000000065,736.9399999999999,0.0,12.0,0.0,296.0,0.0,-9.24760863
BQENDLAVTKRQMS-SBBGFIFASA-L,-1.8330999999999897,614.7310000000004,5.0,7.0,0.0,228.0,0.0,-9.244617084
JPEOONAIYXUZTI-UHFFFAOYSA-L,4.873800000000004,840.8800000000001,17.0,4.0,0.0,270.0,0.48,-9.236306986
SIZXNBZGPPPFHM-UHFFFAOYSA-L,-1.8131999999999986,1183.7279999999996,9.0,6.0,2.0,182.0,0.3333333333333333,-9.219554443
UWEYRJFJVCLAGH-UHFFFAOYSA-N,5.512600000000001,462.07399999999996,0.0,0.0,0.0,166.0,0.0,-9.193426391000001
VHVPQPYKVGDNFY-UHFFFAOYSA-N,5.5773000000000055,705.6470000000002,11.0,12.0,0.0,256.0,0.5714285714285714,-9.174733823
DTMRKGRREZAYAP-UHFFFAOYSA-N,8.580799999999998,429.77200000000005,1.0,0.0,0.0,106.0,0.6,-9.159999800000001
JPOPEORRMSDUIP-UHFFFAOYSA-N,8.580799999999998,429.77199999999993,1.0,0.0,0.0,106.0,0.6,-9.1499996
UIFFUZWRFRDZJC-UHFFFAOYSA-N,3.4804000000000004,548.6330000000004,12.0,9.0,3.0,216.0,0.15384615384615385,-9.117690251
XZJJDJAXUSQABJ-UHFFFAOYSA-N,7.522400000000006,495.53800000000007,8.0,2.0,2.0,180.0,0.5882352941176471,-9.085477305
ZPDJJEQOURSXEY-UHFFFAOYSA-N,7.522400000000006,495.53800000000007,8.0,2.0,2.0,180.0,0.5882352941176471,-9.085477305
VGEBLZDDRJDVDP-AKAIEBDOSA-N,3.0840200000000033,808.9260000000004,4.0,15.0,7.0,316.0,0.10344827586206896,-9.067175576
GYFAGKUZYNFMBN-UHFFFAOYSA-N,6.328200000000004,276.33799999999997,0.0,0.0,0.0,100.0,1.0,-9.0299997
SJRYSBPDUOVODQ-UHFFFAOYSA-N,4.9985700000000035,394.9020000000001,6.0,3.0,2.0,144.0,0.6428571428571429,-8.967076424
KISDGNGREAJPQR-OICBGKIFSA-N,4.852000000000005,437.62800000000027,7.0,3.0,3.0,174.0,0.28125,-8.947378142
RMIVRCBSQPCSCQ-BDANYOJNSA-N,6.501000000000008,484.7210000000004,1.0,4.0,1.0,196.0,0.0,-8.94198208
PYZHTHZEHQHHEN-UHFFFAOYSA-N,7.9274,395.3269999999999,1.0,0.0,0.0,100.0,0.631578947368421,-8.9399996
XHMIIRLZSKEDPY-UHFFFAOYSA-N,6.543700000000007,432.65200000000027,11.0,2.0,1.0,172.0,0.3125,-8.935435008999999
PBYJDHRFPFHVKZ-OQKDUQJOSA-N,7.448270000000008,419.0530000000003,13.0,2.0,1.0,162.0,0.3448275862068966,-8.933846013
FHKMETBBEHLTJX-OQKDUQJOSA-N,2.6133700000000006,419.05300000000034,13.0,2.0,2.0,162.0,0.3448275862068966,-8.933846013
NNKQQOOMOWTHNQ-OQKDUQJOSA-N,2.6133700000000015,419.0530000000002,13.0,2.0,2.0,162.0,0.3448275862068966,-8.933846013
ZDTAJBBRWBBHSZ-LVEZLNDCSA-N,5.2568000000000055,830.3089999999999,15.0,13.0,4.0,306.0,0.3157894736842105,-8.921848136
DEZFNHCVIZBHBI-ZHACJKMWSA-N,5.396720000000005,516.5460000000003,6.0,8.0,5.0,196.0,0.47368421052631576,-8.88924371
CMEAGPOJDJVIAH-UHFFFAOYSA-N,5.930100000000007,505.7020000000002,10.0,3.0,3.0,196.0,0.631578947368421,-8.883036682
OWUWCULIKLLRIP-UHFFFAOYSA-N,6.020500000000007,587.1640000000003,11.0,7.0,0.0,220.0,0.5714285714285714,-8.882266484
JCZYXTVBWHAWLL-UHFFFAOYSA-N,6.510400000000005,496.0010000000002,7.0,3.0,1.0,182.0,0.6,-8.87831222
RJURFGZVJUQBHK-IIXSONLDSA-N,0.7256400000000014,1255.4379999999987,8.0,18.0,5.0,490.0,0.15555555555555556,-8.874521256
BQUFQLHGCASYAP-BTKVJIOYSA-N,2.610170000000002,419.0530000000001,11.0,2.0,2.0,162.0,0.3448275862068966,-8.808018238999999
CSHWQDPOILHKBI-UHFFFAOYSA-N,5.737200000000004,252.31599999999997,0.0,0.0,0.0,92.0,1.0,-8.8000002
UWWYQKBJJBZVHJ-UHFFFAOYSA-N,5.151000000000014,871.0850000000003,10.0,6.0,4.0,340.0,0.31746031746031744,-8.778692543
BVWDWBBIQPIAHW-UHFFFAOYSA-N,7.580600000000009,863.1089999999991,10.0,6.0,4.0,336.0,0.31746031746031744,-8.774697648
FCKJYANJHNLEEP-SRLFHJKTSA-N,5.704700000000007,416.6460000000002,6.0,3.0,3.0,170.0,0.0,-8.731026256
GMRQFYUYWCNGIN-NKMMMXOESA-N,5.704700000000006,416.64600000000024,6.0,3.0,3.0,170.0,0.0,-8.72489756
CTVRBEKNQHJPLX-UHFFFAOYSA-N,7.274000000000001,360.88200000000006,1.0,0.0,0.0,94.0,0.6666666666666666,-8.71
ICOAEPDGFWLUTI-UHFFFAOYSA-N,7.274000000000001,360.88199999999995,1.0,0.0,0.0,94.0,0.6666666666666666,-8.71
XBZKJGBIPSQKAU-UHFFFAOYSA-N,5.576200000000003,388.058,0.0,1.0,0.0,96.0,0.8,-8.695689899
GTWNJZNRBRCACB-UHFFFAOYSA-N,8.367100000000006,707.8679999999998,13.0,8.0,6.0,274.0,0.5,-8.688584265
IPPMKVWUPMOGFL-UHFFFAOYSA-N,8.557200000000005,703.836,13.0,8.0,5.0,270.0,0.5769230769230769,-8.686103474
BBMULGJBVDDDNI-OWKLGTHSSA-N,5.842220000000007,590.7980000000003,13.0,7.0,4.0,238.0,0.14285714285714285,-8.679420524
LHRCREOYAASXPZ-UHFFFAOYSA-N,6.299400000000004,278.354,0.0,0.0,0.0,102.0,1.0,-8.659999800000001
LEQYZWFWTZQBAZ-UHFFFAOYSA-N,7.0665200000000095,479.5800000000001,8.0,2.0,2.0,180.0,0.375,-8.65966634
LKHLFUVHHXCNJH-UHFFFAOYSA-N,7.274000000000001,360.88199999999995,1.0,0.0,0.0,94.0,0.6666666666666666,-8.6499996
FZFUUSROAHKTTF-UHFFFAOYSA-N,7.274000000000001,360.88199999999995,1.0,0.0,0.0,94.0,0.6666666666666666,-8.6499996
BAYNABZLZVULMV-UHFFFAOYSA-N,8.227300000000001,508.40500000000003,16.0,2.0,2.0,176.0,0.3870967741935484,-8.638013708999999
FCFNRCROJUBPLU-UYBNATROSA-N,2.3433000000000064,1111.3379999999993,9.0,18.0,6.0,444.0,0.0,-8.624900758999999
IFLREYGFSNHWGE-UHFFFAOYSA-N,5.146200000000003,228.29399999999998,0.0,0.0,0.0,84.0,1.0,-8.6000004
BQHCQAQLTCQFJZ-UHFFFAOYSA-N,7.274000000000001,360.88199999999995,1.0,0.0,0.0,94.0,0.6666666666666666,-8.6000004
RVWLHPJFOKUPNM-UHFFFAOYSA-N,7.274000000000001,360.88199999999995,1.0,0.0,0.0,94.0,0.6666666666666666,-8.6000004
YREQHYQNNWYQCJ-UHFFFAOYSA-N,6.372000000000006,376.49600000000004,9.0,3.0,0.0,146.0,0.6428571428571429,-8.6000004
NEQZNVCTZFSAIO-UHFFFAOYSA-N,6.038800000000006,471.6000000000002,8.0,3.0,2.0,178.0,0.8333333333333334,-8.587213975
MOFVSTNWEDAEEK-UHFFFAOYSA-M,5.374300000000006,774.9810000000001,14.0,7.0,0.0,278.0,0.37037037037037035,-8.580292169
MVWHGTYKUMDIHL-UHFFFAOYSA-N,7.274000000000001,360.88199999999995,1.0,0.0,0.0,94.0,0.6666666666666666,-8.5600004
IUUDHOBDQKMUFS-UHFFFAOYSA-N,6.169000000000005,503.23400000000015,8.0,3.0,0.0,144.0,0.6428571428571429,-8.552550872000001
PXUVKPNONSFCNO-UHFFFAOYSA-N,2.7596800000000012,439.0870000000002,10.0,1.0,1.0,168.0,0.3225806451612903,-8.531957912000001
HHQKNFDAEDTRJK-LIOWZGMGSA-N,6.044100000000007,749.9830000000001,10.0,11.0,4.0,302.0,0.0,-8.526746539
MJNIWUJSIGSWKK-UHFFFAOYSA-N,3.6804400000000017,656.7330000000001,17.0,13.0,1.0,256.0,0.2978723404255319,-8.51203745
DTUFJJOVXZRLNG-UHFFFAOYSA-L,-1.8784999999999947,520.4459999999999,0.0,2.0,2.0,132.0,0.0,-8.493659187
HAXBIWFMXWRORI-UHFFFAOYSA-N,5.640400000000003,252.31599999999997,0.0,0.0,0.0,92.0,1.0,-8.489999800000001
JVKYZPBMZPJNAJ-OQFNDJACSA-N,5.6550000000000065,397.6470000000002,0.0,2.0,1.0,162.0,0.0,-8.481563875
HKYGTNQCXCKJAW-UHFFFAOYSA-L,0.1564000000000072,526.4860000000003,13.0,0.0,0.0,170.0,0.0,-8.470966841000001
ROPXFXOUUANXRR-YPKPFQOOSA-N,5.061800000000005,340.50400000000013,14.0,4.0,0.0,140.0,0.0,-8.463936356
AQJLRRRVSDFMAQ-UHFFFAOYSA-M,3.450000000000002,589.4530000000002,10.0,3.0,0.0,188.0,0.18181818181818182,-8.456581962000001
SREQLAJQLXPNMC-DXYSAURFSA-N,5.691000000000006,314.469,5.0,2.0,0.0,126.0,0.0,-8.444499382
BXDAOUXDMHXPDI-UHFFFAOYSA-N,5.7892000000000055,480.4270000000001,4.0,4.0,0.0,166.0,0.4,-8.443570465
HTFJZNJYLBRWHS-UHFFFAOYSA-N,7.829600000000003,533.1980000000001,8.0,2.0,2.0,168.0,0.4,-8.436839231
WAGUALLVPHOILS-UHFFFAOYSA-N,7.829600000000003,533.1980000000002,8.0,2.0,2.0,168.0,0.4,-8.436839231
ZAWVEQPFRDHWIY-UHFFFAOYSA-N,7.829600000000003,533.1980000000002,8.0,2.0,2.0,168.0,0.4,-8.436839231
VQQKIXKPMJTUMP-UHFFFAOYSA-N,7.274000000000001,360.88199999999995,1.0,0.0,0.0,94.0,0.6666666666666666,-8.4200001
IVTJRTIQLPWTJP-BJFQDICYSA-N,2.2232700000000003,405.0260000000003,12.0,2.0,2.0,156.0,0.35714285714285715,-8.414355099
MZXYOYJKGHWUEO-BJFQDICYSA-N,2.2232700000000003,405.0260000000002,12.0,2.0,2.0,156.0,0.35714285714285715,-8.414355099
PSICOFASYZDHQP-UHFFFAOYSA-N,6.372200000000005,404.50100000000015,8.0,3.0,0.0,148.0,0.42857142857142855,-8.411013505
LXMQMMSGERCRSU-UHFFFAOYSA-N,5.137100000000003,379.38500000000005,4.0,3.0,0.0,140.0,0.8214285714285714,-8.3999996
OWZREIFADZCYQD-HBFSDRIKSA-N,6.490180000000004,505.2060000000001,6.0,4.0,0.0,144.0,0.42857142857142855,-8.3999996
DCAYPVUWAIABOU-UHFFFAOYSA-N,6.487600000000007,226.44799999999992,13.0,0.0,0.0,98.0,0.0,-8.3999996
GLDOVTGHNKAZLK-UHFFFAOYSA-N,6.240200000000008,270.50099999999986,16.0,1.0,1.0,116.0,0.0,-8.3999996
MDLAAYDRRZXJIF-UHFFFAOYSA-N,7.532700000000006,523.9730000000002,7.0,2.0,1.0,192.0,0.5,-8.385256623
LAYLQVBQIBQVLL-UHFFFAOYSA-N,6.078600000000006,416.34299999999996,11.0,2.0,0.0,124.0,0.2727272727272727,-8.376413207999999
BTVYFIMKUHNOBZ-ODRIEIDWSA-N,3.630320000000003,695.7620000000002,2.0,12.0,4.0,270.0,0.12,-8.374113388
CNEOZRIZTKXNDU-UHFFFAOYSA-N,-1.0932999999999948,547.0230000000001,7.0,6.0,2.0,204.0,0.3157894736842105,-8.372515236
GAOZTHIDHYLHMS-KEOBGNEYSA-N,4.272900000000003,670.8810000000003,10.0,10.0,4.0,272.0,0.0,-8.349524225
JYYFMIOPGOFNPK-AGRJPVHOSA-N,6.1390000000000065,306.49,14.0,2.0,0.0,126.0,0.0,-8.334127951000001
HMSWAIKSFDFLKN-UHFFFAOYSA-N,10.388599999999993,366.7180000000002,23.0,0.0,0.0,158.0,0.0,-8.3299999
JFJZZMVDLULRGK-URLMMPGGSA-O,6.7010000000000085,609.7430000000004,2.0,7.0,2.0,234.0,0.5333333333333333,-8.327264912
RPUMZMSNLZHIGZ-UHFFFAOYSA-N,7.274000000000001,360.88199999999995,1.0,0.0,0.0,94.0,0.6666666666666666,-8.3199997
PZHBZYPUUCYOIA-UHFFFAOYSA-N,5.793100000000004,343.4510000000001,2.0,2.0,0.0,122.0,0.8,-8.313139462
IECPWNUMDGFDKC-MZJAQBGESA-N,5.666100000000008,516.7190000000004,5.0,5.0,3.0,208.0,0.0,-8.302983458
TZMHVHLTPWKZCI-UHFFFAOYSA-N,7.9274000000000004,395.3269999999999,1.0,0.0,0.0,100.0,0.631578947368421,-8.300000200000001
ZFFZCBQVQKRBHW-QREUMGABSA-N,2.2200700000000007,405.02600000000007,10.0,2.0,2.0,156.0,0.35714285714285715,-8.287333411
PRVPQDZPPCTAMN-UHFFFAOYSA-N,6.986000000000007,620.5400000000003,21.0,8.0,2.0,206.0,0.3333333333333333,-8.28220656
FTOVXSOBNPWTSH-UHFFFAOYSA-N,5.640400000000003,252.31599999999997,0.0,0.0,0.0,92.0,1.0,-8.2299995
HQVZOORKDNCGCK-UHFFFAOYSA-N,7.003600000000006,365.34400000000016,4.0,1.0,1.0,130.0,0.5,-8.224437629
KBNIFDASRCWYGC-GXNXWABVSA-J,-9.877560000000011,960.8220000000001,9.0,20.0,4.0,302.0,0.3870967741935484,-8.212514549
BNXDKTBMUIPKNM-UHFFFAOYSA-L,5.368400000000006,774.7700000000001,17.0,0.0,0.0,258.0,0.5,-8.198091315
FIERVDLXKNFTPK-UHFFFAOYSA-N,6.008400000000006,523.5120000000003,8.0,6.0,2.0,188.0,0.5555555555555556,-8.19387684
FMMWHPNWAFZXNH-UHFFFAOYSA-N,5.737200000000003,252.31599999999997,0.0,0.0,0.0,92.0,1.0,-8.1899996
BRZHTUISXPQTLF-QYEGGRDRSA-N,6.540800000000008,562.7880000000004,10.0,6.0,2.0,228.0,0.0,-8.180970934
ZXQYGBMAQZUVMI-XYRWEVSHSA-N,6.543980000000004,449.8560000000001,6.0,4.0,0.0,162.0,0.3870967741935484,-8.1800003
