Name,Octanol-water partition coefficient,Molecular weight,Number of rotatable bonds,HAcceptors,HDonor,Aromatic Proportion,NumValenceElectrons,logS,Label,Difference
ISADCDVTGCDIGA-UHFFFAOYSA-N,3.02782,262.353,3,3,1,0.3157894737,104,-3.365807591,-3.37145681,0.005649219236
UMCNJMVTYNYAGF-UHFFFAOYSA-N,3.02782,262.353,3,3,1,0.3157894737,104,-3.365807591,-3.37145681,0.005649219236
UONWZNLVCSWMSI-UHFFFAOYSA-N,3.02782,262.353,3,3,1,0.3157894737,104,-3.365807591,-3.37145681,0.005649219236
AVSPYQKJZIZMFT-UHFFFAOYSA-N,2.9246,284.403,6,2,1,0.4761904762,112,-3.649794771,-3.643906589,0.005888182446
PTYFYNKKKOLUQE-NWBUNABESA-N,-1.0138,396.44,10,6,3,0.2142857143,156,-4.070547567,-4.076503725,0.005956158052
ZWSMHUSCFABOJA-UHFFFAOYSA-N,1.7836,175.297,5,2,1,0,66,-2.026273172,-2.020303667,0.005969504812
TUBNIQQVIOAZBQ-UNOMPAQXSA-N,1.4557,371.397,7,7,1,0.4074074074,142,-3.124234188,-3.130360804,0.0061266162
SOYVHSZVPQHVOP-UHFFFAOYSA-N,2.9913,231.339,4,2,0,0.3529411765,92,-2.877676703,-2.871007546,0.006669156814
MAGVRYQQEVBJKC-UHFFFAOYSA-N,0.91062,259.309,2,5,0,0.6315789474,100,-2.66253847,-2.655305761,0.007232709497
AMVODTGMYSRMNP-GNIMZFFESA-N,2.5852,344.451,1,4,2,0,136,-3.471547723,-3.478977023,0.007429300363
WDMDRQDYTJNZNG-UHFFFAOYSA-N,3.0305,426.513,9,7,0,0.3870967742,166,-4.039982672,-4.032551319,0.007431352848
YVQVOQKFMFRVGR-VGOFMYFVSA-N,0.6747,324.293,5,8,0,0.2173913043,124,-2.635876311,-2.643318132,0.007441820566
DBIYVUUUZVZMQD-UHFFFAOYSA-N,-2.3042,215.724,4,1,2,0.4285714286,80,-0.584156089,-0.5766709545,0.00748513454
DHNCTQIFOGRFJF-UHFFFAOYSA-N,-2.3042,215.724,4,1,2,0.4285714286,80,-0.584156089,-0.5766709545,0.00748513454
CYBHZZZXLCUSQA-UHFFFAOYSA-N,0.8393,218.253,5,4,2,0,88,-1.569582916,-1.577421584,0.007838667757
WRJIIPWMHJEZHX-UHFFFAOYSA-N,4.56434,326.912,8,2,1,0.2727272727,126,-5.107886697,-5.099653803,0.00823289389
LPJNJBLMADVVOB-RMKNXTFCSA-N,2.3841,235.283,6,3,2,0.3529411765,92,-3.296043588,-3.287777993,0.008265594992
UBGGREWUFINDKK-UHFFFAOYSA-N,1.3375,198.31,1,2,0,0,82,-1.398619433,-1.406936024,0.008316591129
FBMVFHKKLDGLJA-UHFFFAOYSA-N,2.094,163.311,0,3,1,0,54,-1.367880166,-1.359423458,0.008456707573
BEZZFPOZAYTVHN-UHFFFAOYSA-N,2.9079,315.354,3,4,2,0.6818181818,112,-3.956461293,-3.964953886,0.008492593271
LHNXUEAGNLUMMI-BHLCTJEESA-N,4.7081,373.924,3,3,1,0.4230769231,140,-4.365953969,-4.3574475,0.008506468771
LHNXUEAGNLUMMI-JVFQMWRPSA-N,4.7081,373.924,3,3,1,0.4230769231,140,-4.365953969,-4.3574475,0.008506468771
FYSBYQYDBNHFED-UHFFFAOYSA-N,-1.2325,250.773,1,0,2,0.5294117647,92,-2.100422504,-2.091912564,0.008509939663
QZFKJZKPGLLKMJ-UHFFFAOYSA-N,-1.2325,250.773,1,0,2,0.5294117647,92,-2.100422504,-2.091912564,0.008509939663
MCRZDGWCWKQOMX-UHFFFAOYSA-N,2.7298,284.312,7,5,2,0.25,112,-3.506361484,-3.515256099,0.008894614509
UPUDZFFFZRSNAE-UHFFFAOYSA-N,4.2194,285.35,1,3,2,0.9090909091,106,-5.165343281,-5.174432031,0.009088749916
DDLAHAHXSPIZQL-UHFFFAOYSA-N,3.3369,334.463,6,3,1,0.48,130,-3.698921976,-3.708391405,0.009469429344
ZVNYYNAAEVZNDW-UHFFFAOYSA-N,1.4545,159.192,1,3,1,0.9166666667,60,-1.13746325,-1.127754315,0.009708935309
FWPKDESKJMMUSR-UHFFFAOYSA-N,1.0721,131.175,4,2,2,0,54,-0.737639831,-0.7278584443,0.00978138674
NIQMFMMHMRRKLU-UHFFFAOYSA-N,2.90102,268.744,2,3,1,0.3333333333,98,-3.123982559,-3.13378583,0.00980327114
BAQKJENAVQLANS-UHFFFAOYSA-N,4.1854,367.489,7,4,0,0.4444444444,144,-4.587840875,-4.597711129,0.009870253592
VIROVYVQCGLCII-UHFFFAOYSA-N,1.185,226.276,4,3,2,0,90,-2.5699999,-2.56004626,0.009953640189
LULAYUGMBFYYEX-UHFFFAOYSA-N,2.0382,156.568,1,1,1,0.6,52,-2.5899999,-2.599999964,0.01000006424
UZGWBNJMOBHHIU-UHFFFAOYSA-N,2.84188,219.247,0,3,1,0.8235294118,80,-3.83850652,-3.828267015,0.01023950538
QWGDMFLQWFTERH-UHFFFAOYSA-N,3.4292,313.788,0,4,1,0.5454545455,112,-4.088561893,-4.078266918,0.01029497494
JCUYNWANICHYHR-UHFFFAOYSA-N,0.33612,336.306,7,0,1,0.5454545455,118,-5.13756077,-5.127263641,0.01029712864
BMCQMVFGOVHVNG-TUFAYURCSA-N,3.1326,432.557,5,6,2,0,172,-5.068781662,-5.058067398,0.01071426413
YZNQMPPBWQTLFJ-TUFAYURCSA-N,3.1326,432.557,5,6,2,0,172,-5.068781662,-5.058067398,0.01071426413
UMYZWICEDUEWIM-UHFFFAOYSA-N,1.8353,194.23,4,3,0,0.4285714286,76,-1.572312967,-1.58305274,0.0107397725
XKCKSAJWVZAVIO-UHFFFAOYSA-N,2.95074,226.279,2,2,1,0.7058823529,86,-3.073610903,-3.084871682,0.01126077863
SPLXTEULIVJMRZ-UHFFFAOYSA-N,2.0804,165.192,3,3,2,0.5,64,-1.435516387,-1.424206227,0.01131016013
XJRXTTURVBVZRR-ZHACJKMWSA-N,2.9003,183.642,2,2,0,0.5,64,-3.128514243,-3.116730434,0.0117838093
SJNWVWZUCJZLGK-UHFFFAOYSA-N,0.5577,186.182,4,3,2,0.4615384615,72,-1.123809679,-1.136051927,0.01224224785
UATJOMSPNYCXIX-UHFFFAOYSA-N,1.4112,213.105,3,6,0,0.4,78,-2.8900001,-2.877360322,0.01263977842
KCGKUMMLOWMRHO-UHFFFAOYSA-N,3.8951,319.445,7,4,0,0.2608695652,128,-4.607869891,-4.620543053,0.01267316215
UCIDKFGCIPMMOX-UHFFFAOYSA-N,3.0818,384.523,11,6,2,0.4,138,-3.438778474,-3.42571614,0.01306233418
LRWBJGZHGVHLEN-UHFFFAOYSA-M,1.2228,411.327,7,1,0,0.5454545455,120,-2.75565002,-2.768718721,0.01306870067
LPDBFJGKSBYQRE-UHFFFAOYSA-N,4.422,391.309,8,3,1,0.5,128,-4.805768403,-4.792485495,0.01328290759
WZNIVRAEOQQUIB-UHFFFAOYSA-N,0.1973,315.805,5,7,0,0.4285714286,118,-2.005260282,-2.019196085,0.01393580304
BLFQCTZPRNTYFS-UHFFFAOYSA-N,4.1445,369.781,6,4,0,0.3333333333,102,-3.574488407,-3.560529182,0.01395922504
JBDGDEWWOUBZPM-UHFFFAOYSA-N,3.1869,378.108,3,3,3,0.3333333333,100,-3.621207295,-3.607071612,0.01413568252
OSZNNLWOYWAHSS-UHFFFAOYSA-M,1.0367,334.394,3,6,0,0.2727272727,126,-2.105948081,-2.120209721,0.01426164033
DGMKFQYCZXERLX-UHFFFAOYSA-N,2.2984,334.416,10,3,2,0.25,132,-3.3806478,-3.39505518,0.01440737999
DVASNQYQOZHAJN-UHFFFAOYSA-N,4.3513,280.289,3,1,1,0.6,106,-4.195726165,-4.210312803,0.01458663779
KICUGLVMRAJYPD-UHFFFAOYSA-N,2.8356,300.956,2,2,1,0.375,86,-3.730297662,-3.744918359,0.01462069722
XQFRJNBWHJMXHO-RRKCRQDMSA-N,-1.2181,354.1,2,6,3,0.3529411765,94,-2.248095943,-2.233263367,0.01483257596
FSODIQQHMZLLSA-UHFFFAOYSA-N,1.2442,202.217,2,3,3,0.7333333333,76,-1.024784296,-1.009944393,0.01483990263
GQSGZTBDVNUIQS-DGCLKSJQSA-N,3.4532,247.338,2,3,0,0.3333333333,98,-4.113623901,-4.128655024,0.01503112257
JNGWGQUYLVSFND-UHFFFAOYSA-N,0.7412,190.202,1,2,2,0.4285714286,72,-1.459671144,-1.475278906,0.01560776197
XIYPXOFSURQTTJ-NSCUHMNNSA-N,2.0175,190.198,2,3,0,0.4285714286,72,-2.381523884,-2.365521051,0.01600283281
IXMINYBUNCWGER-UHFFFAOYSA-M,-1.669,202.185,3,3,0,0.4285714286,70,-0.371755769,-0.3878618436,0.01610607457
HZTUFMXXIKGMQU-UHFFFAOYSA-N,1.5008,238.312,4,5,1,0.375,86,-2.451305562,-2.435173936,0.01613162641
OUGSOKCMASPUBA-UHFFFAOYSA-N,1.8877,230.311,2,2,0,0.3529411765,90,-2.337008816,-2.353298692,0.01628987581
HLEVPWCWUZKNTL-UHFFFAOYSA-N,-0.5568,401.934,7,3,1,0.4285714286,150,-3.713171907,-3.696484504,0.01668740296
ZUTYZAFDFLLILI-UHFFFAOYSA-N,2.9057,150.221,2,1,1,0.5454545455,60,-2.194459387,-2.177573303,0.01688608402
UJAOSPFULOFZRR-UHFFFAOYSA-N,1.5703,193.202,2,3,1,0.4285714286,74,-1.91,-1.92690571,0.0169057098
ZXEPICRUPDEDET-UHFFFAOYSA-N,4.06972,310.825,3,3,1,0.2857142857,116,-4.626224398,-4.608327079,0.01789731918
XGLHYBVJPSZXIF-UHFFFAOYSA-N,2.3041,150.221,2,1,1,0.5454545455,60,-1.869234582,-1.851302644,0.01793193848
JCDVXGPHXXODML-UHFFFAOYSA-N,1.4865,318.42,9,5,2,0.3,112,-2.366260689,-2.384325811,0.01806512167
HKPHPIREJKHECO-UHFFFAOYSA-N,4.1574,311.853,9,2,0,0.2857142857,118,-4.1900001,-4.208090297,0.01809019698
IPMKEQXUUSDMIW-UHFFFAOYSA-N,0.854,218.253,5,4,2,0,88,-1.61060646,-1.592474367,0.01813209283
JWCSIUVGFCSJCK-CAVRMKNVSA-N,-1.1277,520.48,9,12,4,0.3055555556,190,-3.227706523,-3.246080067,0.01837354356
GPTONYMQFTZPKC-UHFFFAOYSA-N,0.8682,280.309,4,6,2,0.6315789474,100,-2.5799999,-2.561214447,0.01878545298
OVJVJGCIIHYJMS-UHFFFAOYSA-N,-0.8256,291.822,7,1,1,0.6,108,-3.503218091,-3.484413822,0.0188042693
QDHFDXDMKYJPSC-UHFFFAOYSA-N,1.3652,163.22,3,1,1,0.5,64,-1.246256197,-1.26508166,0.01882546326
QWLHJVDRPZNVBS-UHFFFAOYSA-N,3.2914,198.221,3,2,0,0.8,74,-3.86418035,-3.845172011,0.01900833874
UVGXKOHVQFOLQY-UHFFFAOYSA-N,-0.4251,321.848,7,2,1,0.5454545455,120,-4.009336213,-3.990026183,0.01931002987
UKXSKSHDVLQNKG-UHFFFAOYSA-N,2.0071,228.247,3,2,2,0.7058823529,86,-2.21,-2.2294144,0.01941439997
ARWPUAOHSSHEBZ-UHFFFAOYSA-N,2.9851,273.848,5,2,2,0,106,-2.821554764,-2.802017831,0.01953693339
HNVNYBVNGAOPDJ-UHFFFAOYSA-N,4.4436,442.794,9,4,0,0.2857142857,120,-5.149262271,-5.129703364,0.01955890663
DREPSSCSPHCHTF-UHFFFAOYSA-N,5.0163,319.92,4,1,1,0.2727272727,122,-5.374703537,-5.354959064,0.01974447347
DLKQHBOKULLWDQ-UHFFFAOYSA-N,3.6023,207.07,0,0,0,0.9090909091,54,-4.3499999,-4.330129721,0.01987017923
YNJBWRMUSHSURL-UHFFFAOYSA-N,1.4412,163.387,0,1,1,0,42,-0.476000959,-0.4961582213,0.02015726233
HQMKNAFRMFCXBZ-UHFFFAOYSA-N,1.8875,231.723,5,3,1,0.4,86,-1.370206575,-1.39039367,0.02018709505
PZZRNAITVRJAKV-UHFFFAOYSA-N,1.4324,186.008,0,2,0,0,46,-1.514648395,-1.534860217,0.02021182238
PRVVGOHCHSLWDE-UHFFFAOYSA-N,1.455,253.324,4,5,1,0,86,-2.363445707,-2.383690857,0.0202451497
WKKHCCZLKYKUDN-UHFFFAOYSA-N,2.4857,177.03,1,1,1,0.6,54,-2.0999999,-2.120282586,0.02028268582
FKOPCVJGLLMUNP-UHFFFAOYSA-N,3.1767,217.353,8,2,2,0,92,-2.710825272,-2.731188301,0.02036302885
BRUZQRBVNRKLJG-UHFFFAOYSA-N,0.7377,117.148,2,2,1,0,48,-0.30000001,-0.2792744875,0.02072552249
KUZRSCRQPYFUKP-GHXNOFRVSA-N,2.0701,210.664,3,3,0,0.4285714286,74,-1.927384794,-1.906583229,0.02080156499
NPPQSCRMBWNHMW-UHFFFAOYSA-N,0.9834,218.253,6,4,2,0,88,-1.67,-1.691151353,0.02115135286
CRPNQSVBEWWHIJ-UHFFFAOYSA-N,0.6159,154.121,1,4,3,0.5454545455,58,-1.000341097,-1.021501395,0.02116029826
UYTMLDBQFLIQJA-GQCTYLIASA-N,1.0877,111.1,1,3,1,0.625,42,-0.640880342,-0.6196183123,0.02126202969
KDICASSDSSYKMK-UHFFFAOYSA-N,1.12982,161.16,0,2,1,0.5,60,-1.23090728,-1.252853108,0.02194582768
UEHZKEABUOAZSH-UHFFFAOYSA-N,1.12982,161.16,0,2,1,0.5,60,-1.23090728,-1.252853108,0.02194582768
VAJCSPZKMVQIAP-UHFFFAOYSA-N,1.12982,161.16,0,2,1,0.5,60,-1.23090728,-1.252853108,0.02194582768
PUSJAEJRDNPYKM-UHFFFAOYSA-N,2.56754,154.234,1,2,0,0.5,54,-2.536882425,-2.55931781,0.02243538494
CLWIJUQLAFJNOF-UHFFFAOYSA-N,3.8486,210.28,2,1,1,0.75,80,-4.528798167,-4.506236291,0.02256187607
NIVFTEMPSCMWDE-UHFFFAOYSA-N,1.7924,186.251,3,2,2,0,76,-1.50131259,-1.523905414,0.02259282449
RMUCZJUITONUFY-UHFFFAOYSA-N,0.6924,136.198,3,2,2,0.6,54,-0.670277741,-0.6473328686,0.02294487242
XRECTZIEBJDKEO-UHFFFAOYSA-N,-0.5088,129.094,0,3,2,0.6666666667,48,-0.97000003,-0.9931343351,0.02313430509
BLTOCKUZVXQTPH-UHFFFAOYSA-N,1.6961,179.219,4,3,1,0.4615384615,70,-1.781212879,-1.757553459,0.02365941959
JKNCOURZONDCGV-UHFFFAOYSA-N,0.6673,157.213,4,3,0,0,64,-0.170773071,-0.1469307378,0.02384233318
QCGRMMZPZDAITA-UHFFFAOYSA-N,-1.1839,238.247,3,7,1,0.5294117647,92,-0.155091823,-0.1790284008,0.02393657778
STUSTWKEFDQFFZ-KPKJPENVSA-N,2.86982,196.681,2,1,0,0.4615384615,70,-2.8599999,-2.836029086,0.02397081374
QERYCTSHXKAMIS-UHFFFAOYSA-N,1.4463,128.152,1,2,1,0.625,42,-1.232640402,-1.256643422,0.02400302044
HEVSQLIUCMHBPN-UHFFFAOYSA-N,3.92962,330.859,5,3,1,0.652173913,122,-3.933051697,-3.957154566,0.02410286905
VAMBUGIXOVLJEA-UHFFFAOYSA-N,2.6042,165.236,4,2,2,0.5,66,-2.341598143,-2.365928887,0.02433074413
LCWQBSJESOQELG-UHFFFAOYSA-N,3.016,263.809,5,3,0,0,102,-2.720580952,-2.695988942,0.02459200991
PBTJOTZZTRRCSV-UHFFFAOYSA-N,2.431,561.77,22,11,4,0.1764705882,198,-5.154040674,-5.129431657,0.0246090174
XUWZZJXBIFVOSR-UHFFFAOYSA-N,-0.9933,345.867,10,4,1,0.2608695652,132,-3.351384652,-3.326769721,0.02461493149
PWCXFVBAQLRQEN-UHFFFAOYSA-N,2.6267,239.34,6,3,2,0.375,88,-3.077972571,-3.103104999,0.02513242836
ORFFGRQMMWVHIB-UHFFFAOYSA-N,1.3742,194.186,2,4,0,0.4285714286,74,-1.89,-1.863475114,0.02652488619
IZHAHTWHSFEUDL-CFILVAQYSA-N,3.4345,330.859,5,2,1,0.5217391304,122,-3.978059758,-3.95145478,0.0266049779
IZHAHTWHSFEUDL-UHFFFAOYSA-N,3.4345,330.859,5,2,1,0.5217391304,122,-3.978059758,-3.95145478,0.0266049779
JZGUQAMYFQKVSO-ZHACJKMWSA-N,2.9003,183.642,2,2,0,0.5,64,-3.143391012,-3.116730434,0.0266605783
BHELZAPQIKSEDF-UHFFFAOYSA-N,1.5673,120.977,1,0,0,0,24,-1.5,-1.473314428,0.02668557167
YXFVVABEGXRONW-UHFFFAOYSA-N,1.99502,92.141,0,0,0,0.8571428571,36,-2.21,-2.183176865,0.02682313509
QRJOQYLXZPQQMX-FWROMSNXSA-N,3.3174,390.52,3,5,1,0,156,-4.061571701,-4.088400384,0.02682868319
JRWUFQJVJGKCCT-UHFFFAOYSA-N,3.56678,235.286,4,2,0,0.6666666667,88,-3.591278774,-3.563908588,0.02737018631
FJGLVTYWNCZPBL-UHFFFAOYSA-N,4.2438,303.77,3,3,1,0.75,100,-4.449106843,-4.421581223,0.02752561999
QUIQLMJJIBJLJL-UHFFFAOYSA-N,-1.4305,345.867,10,4,1,0.2608695652,132,-3.173417388,-3.201215691,0.02779830312
WGJHHMKQBWSQIY-UHFFFAOYSA-N,2.6032,261.365,3,3,0,0.3157894737,104,-2.667897653,-2.695717869,0.0278202158
XMFMYKMPBCMDFG-UHFFFAOYSA-N,3.046,316.832,5,2,1,0.5454545455,116,-3.521276566,-3.549110475,0.02783390918
FPPNZSSZRUTDAP-UWFZAAFLSA-N,0.4865,378.406,5,5,3,0.2307692308,138,-2.923773427,-2.895833233,0.02794019365
PMNBNUKPDNHZFI-UHFFFAOYSA-N,1.3877,189.218,2,3,2,0.6428571429,72,-1.443815336,-1.415550588,0.02826474763
PXWUKZGIHQRDHL-UHFFFAOYSA-N,1.1323,211.269,5,6,2,0.4,84,-2.0799999,-2.051712299,0.02828760138
NYPYHUZRZVSYKL-SSDOTTSWSA-N,1.5558,432.983,3,3,3,0.4,82,-2.8599999,-2.888349614,0.02834971385
KRYLGICXMCHFHB-UHFFFAOYSA-N,1.7636,246.307,8,4,2,0,100,-2.674639049,-2.646240649,0.02839840037
OAUQNCDVPLLEAH-UHFFFAOYSA-N,1.7636,246.307,8,4,2,0,100,-2.674639049,-2.646240649,0.02839840037
ULBXWWGWDPVHAO-UHFFFAOYSA-N,2.9102,223.659,2,2,1,0.4,78,-2.617186813,-2.588662841,0.02852397168
ZEAJXCPGHPJVNP-UHFFFAOYSA-N,2.2271,214.268,4,3,2,0.75,82,-2.186071918,-2.214636766,0.02856484772
BNBQRQQYDMDJAH-UHFFFAOYSA-N,1.4578,136.15,0,2,0,0.6,52,-1.911821567,-1.883067927,0.02875363971
WMSQREUDUHHDDC-UHFFFAOYSA-N,-0.0652,182.179,2,3,2,0,70,-1.16,-1.131021257,0.02897874255
VBCPVIWPDJVHAN-UHFFFAOYSA-N,4.6167,340.294,8,2,0,0.5454545455,120,-4.350003034,-4.320973565,0.02902946946
NDOGLIPWGGRQCO-UHFFFAOYSA-N,0.9446,114.144,3,2,0,0,46,-0.498984525,-0.5280182433,0.02903371833
KDXCCWHVFRELBS-UHFFFAOYSA-N,3.8777,345.87,4,3,0,0.5,128,-4.091751096,-4.121089931,0.02933883453
OMRAPVPZNVLTSF-UHFFFAOYSA-N,0.7374,216.237,4,4,2,0,86,-1.521349019,-1.550790412,0.02944139343
AAOQURPCQWSPJM-UHFFFAOYSA-N,1.4754,246.307,6,4,2,0,100,-2.549491968,-2.519833331,0.02965863669
ZPUCINDJVBIVPJ-LJISPDSOSA-N,1.8677,303.358,3,5,0,0.2727272727,118,-2.25,-2.279884287,0.02988428652
CTQNGGLPUBDAKN-UHFFFAOYSA-N,2.30344,106.168,0,0,0,0.75,42,-2.8,-2.769999981,0.03000001907
OFZCIYFFPZCNJE-UHFFFAOYSA-N,2.0227,260.334,7,4,2,0,106,-2.938409653,-2.968613608,0.03020395488
CEEQUQSGVRRXQI-UHFFFAOYSA-N,-0.30728,265.158,4,5,3,0.3529411765,96,-1.346864275,-1.316572305,0.03029197015
VCCAAURNBULZRR-SFYZADRCSA-N,0.8994,143.23,2,2,2,0,60,-0.809681017,-0.7793448386,0.03033617839
PVVOWFXFXMECMS-UHFFFAOYSA-N,4.8656,387.611,16,4,2,0.24,144,-5.392480732,-5.422836765,0.03035603335
BBIMHFSPNXQFAH-UHFFFAOYSA-N,3.5283,269.388,6,2,0,0.6,106,-3.197128236,-3.166768583,0.03035965294
LJSQFQKUNVCTIA-UHFFFAOYSA-N,1.7594,90.191,2,1,0,0,32,-1.34,-1.370911845,0.03091184527
LJDVATIOWGCFIY-UHFFFAOYSA-N,3.3539,275.392,5,3,0,0.3,110,-3.79847721,-3.829552667,0.03107545714
ULBXWWGWDPVHAO-QMMMGPOBSA-N,2.9102,223.659,2,2,1,0.4,78,-2.6199999,-2.588662841,0.03133705868
MZZYGYNZAOVRTG-UHFFFAOYSA-N,0.7626,204.189,2,4,3,0.7333333333,76,-0.875463438,-0.8441145828,0.03134885516
WDCROVAUQRFURX-UHFFFAOYSA-N,1.3555,288.347,2,3,1,0.55,102,-3.090689037,-3.122429622,0.03174058482
YKHXNYZQQZHKRX-UHFFFAOYSA-N,4.3012,342.079,2,1,0,0,124,-4.52129555,-4.489497813,0.03179773701
ULDHMXUKGWMISQ-UHFFFAOYSA-N,2.4879,150.221,1,1,0,0,60,-2.0599999,-2.092187741,0.0321878414
LPMXVESGRSUGHW-HBYQJFLCSA-N,-1.515,584.659,4,12,8,0,232,-1.752382101,-1.7850636,0.03268149932
IBXNCJKFFQIKKY-UHFFFAOYSA-N,1.4197,68.119,1,0,0,0,28,-1.64,-1.672766875,0.03276687488
AJSKOLZKIUMPPG-YCRREMRBSA-N,-0.8768,226.148,3,6,2,0.3125,84,-1.607369555,-1.574470432,0.03289912275
HNYGUIIKHLACQV-UHFFFAOYSA-N,2.9443,341.702,8,4,2,0.3529411765,98,-3.142699691,-3.175600539,0.03290084785
HYFLWBNQFMXCPA-UHFFFAOYSA-N,2.55742,120.195,1,0,0,0.6666666667,48,-3.21,-3.176783628,0.03321637154
MWWATHDPGQKSAR-UHFFFAOYSA-N,0.6395,40.065,0,0,0,0,16,-0.41,-0.3767257805,0.03327421946
YGWFCQYETHJKNX-UHFFFAOYSA-N,3.56694,280.843,2,2,1,0.3157894737,106,-3.669584492,-3.636171924,0.03341256812
FYGJHBPMTIZVSW-UHFFFAOYSA-N,4.3448,329.871,5,2,0,0.5217391304,122,-4.079007507,-4.112601265,0.03359375772
