Name,Octanol-water partition coefficient,Molecular weight,Number of rotatable bonds,HAcceptors,HDonor,valence Electron,Aromatic Proportion,logS,Label,Difference
PIHCZKMPOKNUMQ-UHFFFAOYSA-N,1.2086,210.185,2,5,3,80,0.4,-2.734890754,-1.729366467,1.005524287
IVQOFBKHQCTVQV-UHFFFAOYSA-N,3.9071,379.932,10,4,1,144,0.3846153846,-3.558513134,-4.564265546,1.005752412
WVLOADHCBXTIJK-YNHQPCIGSA-N,-0.6637,264.256,4,3,0,92,0.6315789474,-3.943458378,-2.937572916,1.005885462
TUUUNXKJLMHVRJ-UHFFFAOYSA-N,5.8424,552.793,5,4,1,164,0.4,-6.828206792,-5.822296512,1.00591028
TXIBUQJIDAECIO-UHFFFAOYSA-N,3.3421,295.386,4,3,1,114,0.5454545455,-4.641729997,-3.635301338,1.006428659
RWMPWXCERLGUAF-UHFFFAOYSA-N,1.86328,150.253,0,3,2,38,0.7142857143,-1.7618,-0.7552000284,1.006599972
BRKFTWHPLMMNHF-UHFFFAOYSA-N,1.86328,150.253,0,3,2,38,0.7142857143,-0.7552,-1.761800051,1.006600051
PSIRMGCYQXQWBH-UHFFFAOYSA-N,4.2668,422.92,8,6,2,154,0.7333333333,-5.95166953,-4.945016861,1.006652669
TVFJAZCVMOXQRK-UHFFFAOYSA-N,4.2668,422.92,8,6,2,154,0.7333333333,-4.945016986,-5.951669693,1.006652707
ZXXJLAKNTDVKRB-UHFFFAOYSA-N,5.4595,454.013,3,4,2,156,0.4137931034,-7.556681481,-6.549923887,1.006757594
ZYDUNXCLPOKBNQ-UHFFFAOYSA-N,5.4595,454.013,3,4,2,156,0.4137931034,-7.556681481,-6.549923887,1.006757594
IYMDCTFFGDILDM-UHFFFAOYSA-N,2.8722,794.976,8,14,5,318,0,-6.528732096,-5.52195059,1.006781506
DMGGLIWGZFZLIY-UHFFFAOYSA-N,0.1981,241.334,3,4,1,84,0,-0.33,-1.336812838,1.006812838
CWERTNSESVSJBE-UHFFFAOYSA-N,1.0994,167.208,4,3,2,66,0.5,-1.702249774,-0.694936609,1.007313165
CVLHGLWXLDOELD-UHFFFAOYSA-N,1.2745,90.122,0,2,1,38,0,0.8846472263,-0.1228224827,1.007469709
COAWNPJQKJEHPG-UHFFFAOYSA-N,2.4109,301.814,9,4,2,114,0.3,-1.977307944,-2.98485551,1.007547566
COCAVGOWOPNYOD-UHFFFAOYSA-N,1.9231,168.236,0,2,0,68,0,-0.9249,-1.932621571,1.007721571
YUXIBTJKHLUKBD-UHFFFAOYSA-N,3.9668,292.334,1,3,1,110,0.7272727273,-4.86,-3.851899981,1.008100019
UGRWIGCKFYJTEL-UHFFFAOYSA-N,2.31528,135.21,0,1,0,54,0.6,-1.3069,-2.315052327,1.008152327
BXUMMYJTNLBPAN-UHFFFAOYSA-N,-0.1369,508.911,3,10,7,188,0.1714285714,-2.393193899,-1.384909606,1.008284293
UONKAYXKEKSURY-UHFFFAOYSA-N,-0.1231,370.921,9,3,2,142,0.24,-4.920235275,-3.911924303,1.008310972
UTIACSXEVKXHPT-XALLQCHJSA-L,4.24782,274.404,4,2,0,110,0.3,-3.6391,-4.647435423,1.008335423
GXEKYRXVRROBEV-FBXFSONDSA-N,5.3513,458.581,8,5,1,176,0.6176470588,-7.22414125,-6.215736146,1.008405104
SWAHCTPCIUXXTQ-UHFFFAOYSA-N,4.6965,331.5,8,3,0,134,0.25,-5.932772568,-4.924051289,1.008721279
VWWPGQPTCCQNIO-UHFFFAOYSA-N,1.5594,211.236,3,2,1,82,0.4,-1.178639899,-2.187363448,1.008723549
NRAVUGAGYOBXIG-UHFFFAOYSA-N,0.6471,86.09,1,1,1,34,0,1.065,0.05627336726,1.008726633
JUFADMDNFLYBPC-UHFFFAOYSA-N,2.8716,399.443,5,6,1,154,0.4482758621,-0.9482,-1.95710665,1.00890665
OVHFHUINIGGZIU-UHFFFAOYSA-M,0.0354,87.078,1,3,1,34,0,-0.128266439,0.8808081919,1.009074631
MYPYJXKWCTUITO-LYRMYLQWSA-N,1.0308,136.15,0,2,0,52,0,-1.288299596,-0.2792095698,1.009090026
VECZDVJCSZXAPJ-UHFFFAOYSA-N,1.9306,250.275,2,4,2,88,0.7058823529,-3.3192,-2.309999943,1.009200057
WVDGHGISNBRCAO-UHFFFAOYSA-N,5.3916,361.252,7,5,0,108,0.3157894737,-6.0807,-5.07146477,1.00923523
JZPKLLLUDLHCEL-UHFFFAOYSA-N,1.7846,383.408,4,8,1,146,0.5357142857,-5.09,-4.080688,1.009312
IEPPCSKVUNZEMU-UHFFFAOYSA-N,1.7846,383.408,4,8,1,146,0.5357142857,-4.0806881,-5.090000153,1.009312053
NRVPCDAKWQWYRU-VAWYXSNFSA-N,0.8996,141.667,2,2,1,46,0,0.656296988,-0.3531828758,1.009479864
WQZGKKKJIJFFOK-VFUOTHLCSA-N,3.4237,314.301,6,5,1,118,0.5217391304,-5.323868106,-4.314346111,1.009521995
UOORRWUZONOOLO-OWOJBTEDSA-N,0.244,288.385,11,4,0,104,0,0.142087324,-0.8675622697,1.009649594
LYAGTVMJGHTIDH-UHFFFAOYSA-N,2.5752,203.241,4,1,2,78,0.6,-2.9101,-1.900393181,1.009706819
YJMIMZCVYFWXAC-UHFFFAOYSA-M,2.6629,233.094,3,2,0,76,0.4285714286,-3.77,-2.759879094,1.010120906
BXQGDXNUVKQCPP-UHFFFAOYSA-N,0.9539,203.127,0,4,2,74,0.6428571429,-3.1346,-2.124460987,1.010139013
FOICLFXMGGCWBZ-UHFFFAOYSA-N,2.39919,178.216,1,3,1,60,0.9166666667,-1.687448548,-2.697654384,1.010205836
BMURONZFJJPAOK-UHFFFAOYSA-N,0.6011,233.352,9,4,3,98,0,-0.5229,-1.533517321,1.010617321
UKHVLWKBNNSRRR-TYYBGVCCSA-M,1.5131,192.17,2,3,1,72,0.4285714286,-3.19,-2.179375414,1.010624586
NQRLPDFELNCFHW-UHFFFAOYSA-N,-0.3107,100.121,0,1,2,40,0,-1.033914192,-0.02316091508,1.010753277
LOYXLMNYVHOJJJ-UHFFFAOYSA-N,4.0626,351.49,7,3,0,138,0.4615384615,-3.665785639,-4.676543617,1.010757978
AKXUUJCMWZFYMV-UHFFFAOYSA-M,0.819,200.282,7,2,2,82,0,-0.6222,-1.633166421,1.010966421
ZHPKYOHYUWTINN-UHFFFAOYSA-N,2.6488,233.267,2,3,0,90,0.3529411765,-3.813970277,-2.802787939,1.011182338
BNUHAJGCKIQFGE-UHFFFAOYSA-N,2.5283,229.751,4,2,2,86,0.4,-1.036969284,-2.048193063,1.011223779
XLOMZPUITCYLMJ-MRVPVSSYSA-N,1.76658,187.198,2,3,0,70,0.4285714286,-3.01462263,-2.003209345,1.011413285
QEEBRPGZBVVINN-BMPKRDENSA-N,4.7523,337.935,5,2,1,130,0.2608695652,-5.923847702,-4.912393883,1.011453819
RKNDYNPDCNJBBJ-UHFFFAOYSA-N,0.1942,190.001,3,2,2,60,0,0.302182804,-0.7092880654,1.011470869
GDLIGKIOYRNHDA-UHFFFAOYSA-N,1.8726,230.676,0,3,1,74,0.4285714286,-1.908138725,-2.919883614,1.011744889
AMVPMAPIOLCPIE-UHFFFAOYSA-N,2.1196,248.326,4,3,1,98,0.3333333333,-3.326094581,-2.313608217,1.012486364
MWIPQHBQBXDRQA-UHFFFAOYSA-N,-0.0649,135.13,0,4,2,50,0.9,-1.209950395,-2.222633282,1.012682887
LSSUMOWDTKZHHT-UHFFFAOYSA-N,3.12702,164.248,2,1,0,66,0.5,-3.881046339,-2.868358251,1.012688088
HVCNNTAUBZIYCG-UHFFFAOYSA-N,5.5318,356.547,14,4,0,148,0,-5.02063787,-6.03377878,1.01314091
BQNDVYLVJFLZRV-UHFFFAOYSA-N,3.2648,296.351,3,4,1,104,0.7142857143,-3.374886111,-4.388119204,1.013233093
MKXYHEQCWDIQHQ-PSXQHBSSSA-N,3.2081,276.214,3,3,1,104,0.3157894737,-4.465769496,-3.452419374,1.013350122
FJDQFPXHSGXQBY-UHFFFAOYSA-L,2.57732,186.214,2,3,0,70,0.8571428571,-1.969,-2.982490666,1.013490666
AWLILQARPMWUHA-FJXQXJEOSA-M,-2.0035,264.326,4,3,1,90,0,-3.43985715,-2.426231403,1.013625747
ADZSGNDOZREKJK-UHFFFAOYSA-N,4.1617,435.528,10,5,2,168,0.53125,-4.2,-5.213747911,1.013747911
IRMGMLDQRYBJGV-UHFFFAOYSA-N,1.79817,285.734,1,3,2,100,0.6,-2.095174656,-3.109186204,1.014011548
AXTGDCSMTYGJND-UHFFFAOYSA-N,5.3099,281.484,11,1,0,118,0,-6.217729346,-5.203710232,1.014019114
DZMDPHNGKBEVRE-UHFFFAOYSA-N,-0.2665,133.172,1,3,2,46,0,0.875609939,-0.1384664354,1.014076374
OGCJONWNAAHWSZ-CDSHQWRTSA-N,0.8479,109.512,1,2,0,36,0,-1.4374,-0.4226097516,1.014790248
SDOHGYUYKZFOOW-UHFFFAOYSA-N,2.55122,227.735,4,2,0,84,0.4,-0.986356179,-2.001247028,1.014890849
PVIYWTLLWCNTQD-UHFFFAOYSA-N,2.7002,520.579,10,9,3,204,0.1621621622,-5.439795099,-4.424551766,1.015243333
WWPRGAYLRGSOSU-UHFFFAOYSA-M,2.12342,225.251,1,2,2,84,0.7647058824,-3.693701904,-2.678365054,1.01533685
OJNYBYILSUWBHM-UHFFFAOYSA-K,-0.33948,125.131,0,3,2,48,0.6666666667,-1.44,-0.4245145321,1.015485468
ZIFJVJZWVSPZLE-UHFFFAOYSA-N,1.7254,237.082,4,3,2,78,0.4285714286,-2.764227428,-1.748442452,1.015784976
XRCVFFQSIMHODB-UHFFFAOYSA-N,4.4805,342.134,4,5,0,114,0.5454545455,-5.9343,-4.918427194,1.015872806
OVUWGANMOQIFHZ-UHFFFAOYSA-N,1.50166,170.175,2,4,1,62,0.4615384615,-3.36,-2.343907439,1.016092561
PMRYVIKBURPHAH-UHFFFAOYSA-N,1.7786,236.227,2,4,0,90,0.3529411765,-2.774539046,-1.758324928,1.016214118
ONTWCYDBNXHETF-UHFFFAOYSA-N,3.3629,295.426,4,2,1,116,0.5454545455,-5.158694839,-4.142337928,1.016356911
YPDSIEMYVQERLJ-UHFFFAOYSA-N,8.0904,492.7,6,4,0,196,0.3333333333,-6.692582562,-7.709013886,1.016431324
NEAUUNBQQPLQGJ-UHFFFAOYSA-N,3.0693,241.762,5,2,1,90,0.375,-1.91503532,-2.931511037,1.016475717
UOCRGKKCNCIQCZ-QILLFSRXSA-N,-2.9439,480.169,12,12,6,174,0,-1.584831689,-0.5683181281,1.016513561
QPICYTZKVGZMQW-UHFFFAOYSA-L,3.6108,326.415,6,3,0,126,0.5,-4.623349103,-3.606354905,1.016994198
JUHORIMYRDESRB-UHFFFAOYSA-N,2.8716,399.443,5,6,1,154,0.4482758621,-0.94,-1.95710665,1.01710665
HEMZNEGKTOHOHW-UHFFFAOYSA-N,1.1256,114.144,1,2,0,46,0,-1.414000411,-0.3965412809,1.01745913
GXXXUZIRGXYDFP-UHFFFAOYSA-N,1.74222,295.32,4,5,2,106,0.55,-2.38392272,-3.402261969,1.018339249
VBKNNJQOMLOXQL-UHFFFAOYSA-N,5.72782,310.437,4,2,1,122,0.5217391304,-6.741542243,-5.722950513,1.01859173
YFYHJNJCAGHSFA-UHFFFAOYSA-N,1.7111,331.347,3,5,2,126,0.4166666667,-5.62,-4.601149619,1.018850381
VJOVAKSZILJDBB-UHFFFAOYSA-N,2.6474,255.701,5,3,2,92,0.3529411765,-3.574580219,-2.555623569,1.01895665
DOGJSOZYUGJVKS-UHFFFAOYSA-N,4.9255,269.473,12,1,1,114,0,-5.731545253,-4.712494419,1.019050834
WLCFKPHMRNPAFZ-UHFFFAOYSA-M,1.6518,194.112,1,3,1,72,0.3846153846,-1.387141576,-2.406607534,1.019465958
HETKPDLDBOPSJP-UHFFFAOYSA-N,5.6507,376.371,1,1,0,134,0.48,-7.567009046,-6.547249498,1.019759548
RMOUBSOVHSONPZ-UHFFFAOYSA-N,4.0888,236.314,2,1,1,90,0.7777777778,-5.227361416,-4.207432435,1.019928981
UGTZMIPZNRIWHX-UHFFFAOYSA-K,5.2702,364.914,0,0,0,98,0,-6.31,-7.329999924,1.019999924
QCCDLTOVEPVEJK-UHFFFAOYSA-N,5.2702,364.914,0,0,0,98,0,-7.3299999,-6.309999943,1.019999957
WTARULDDTDQWMU-UHFFFAOYSA-N,-1.38,216.284,5,6,2,74,0,0.4596030518,-0.5605298131,1.020132865
UMUYUDSQRKTBKA-UHFFFAOYSA-N,5.1923,360.803,8,6,0,120,0.5,-4.0388,-5.058965845,1.020165845
YDULHULNQBBPCX-UHFFFAOYSA-N,2.48752,262.286,2,4,2,92,0.6666666667,-2.254410647,-3.274651018,1.020240371
XOEUGELJHSUYGP-UHFFFAOYSA-N,-1.1671,125.149,2,3,2,44,0,-0.190529557,0.8300622836,1.020591841
BAZVSMNPJJMILC-UHFFFAOYSA-N,2.82316,192.266,4,4,0,76,0,-2.696191526,-1.67539057,1.020800956
FUXMIXDZSFCFJD-UHFFFAOYSA-N,1.8758,164.204,1,2,1,64,0.5833333333,-2.13620246,-1.115288379,1.020914081
BBWAQXBRCHTNQE-UHFFFAOYSA-N,3.7351,405.495,7,6,3,160,0.3448275862,-3.504181783,-4.525633995,1.021452212
XIPRKCKRTFFPII-UHFFFAOYSA-N,1.89212,364.486,7,6,1,146,0.2307692308,-2.98418904,-1.962585154,1.021603886
IIGMITQLXAGZTL-UHFFFAOYSA-N,0.4062,126.111,0,3,0,48,0,-1.1185,-0.09683377169,1.021666228
ZZYXNRREDYWPLN-UHFFFAOYSA-N,0.7142,206.154,4,6,0,80,0,-2.33,-1.308253662,1.021746338
SPWPAFQLIZTXFN-UHFFFAOYSA-M,9.9208,528.903,32,4,0,224,0,-7.94522478,-6.923314753,1.021910027
WORSJCPMKUOXAD-UHFFFAOYSA-N,0.4327,251.238,5,4,2,96,0.3333333333,-3.22,-2.198000704,1.021999296
AVQDABCAQFMRFT-SFYZADRCSA-N,2.4682,268.144,4,3,1,92,0,-3.48749339,-2.465433575,1.022059815
AVQDABCAQFMRFT-UHFFFAOYSA-N,2.4682,268.144,4,3,1,92,0,-3.48749339,-2.465433575,1.022059815
DCJINIWOQCDNLR-XERUHLCMSA-N,2.3724,302.378,5,6,2,118,0.5454545455,-4.283269618,-3.260877555,1.022392063
BUCORZSTKDOEKQ-UHFFFAOYSA-N,2.4518,306.411,9,6,0,98,0,-2.5403,-1.517628619,1.022671381
LUCYABSAYIDKJV-UHFFFAOYSA-N,3.3221,309.262,6,4,0,102,0.3333333333,-2.49030829,-3.513307121,1.022998831
RRHGJUQNOFWUDK-UHFFFAOYSA-N,3.4647,369.469,7,6,1,144,0.4074074074,-5.586303161,-4.563042221,1.02326094
HTGRNYUXYDXTCF-UHFFFAOYSA-L,-4.5636,152.049,2,5,1,48,0.5,0.818016432,-0.205415423,1.023431855
ZAZKJZBWRNNLDS-UHFFFAOYSA-N,0.1348,246.263,6,5,2,98,0,-2.17,-1.14642109,1.02357891
USPJNXWHVJTDJW-UHFFFAOYSA-N,0.7812,210.141,3,3,3,78,0.4,-1.942299553,-0.9186500311,1.023649522
UDCIYVVYDCXLSX-KAMYIIQDSA-N,0.3506,183.207,3,4,4,72,0.4615384615,-3.007669558,-1.983849972,1.023819586
LTERAWRIKDPXBF-UHFFFAOYSA-N,1.626,231.299,0,2,2,90,0.3529411765,-1.35,-2.374133633,1.024133633
UEJUHUJBJZBBLW-UHFFFAOYSA-N,0.0878,258.233,1,4,1,96,0.3157894737,-3.7,-2.675800085,1.024199915
SJEZDMHBMZPMME-UHFFFAOYSA-L,7.24164,382.588,4,2,2,154,0.4285714286,-7.980671353,-6.956320751,1.024350602
PIMZWOPHBQBFRH-UHFFFAOYSA-N,1.7739,275.352,1,4,1,108,0.3,-1.549914581,-2.574367797,1.024453216
HORNXRXVQWOLPJ-UHFFFAOYSA-N,1.884,261.089,5,2,1,84,0,-1.839171934,-0.8147093058,1.024462628
QEZPUQMNWKYVDS-UHFFFAOYSA-N,4.1711,608.688,8,10,1,236,0.3409090909,-3.920833968,-4.94539988,1.024565912
LVKGEMOUAAZZHD-UHFFFAOYSA-N,3.6973,272.388,0,2,0,108,0,-3.156500662,-4.181371088,1.024870426
GMCIKUIXWWYNKS-UHFFFAOYSA-N,2.6809,260.381,4,2,1,104,0.3157894737,-3.77512787,-2.750240796,1.024887074
XEYBRNLFEZDVAW-UHFFFAOYSA-N,3.3096,252.613,2,4,0,86,0.5882352941,-5.4,-4.374930683,1.025069317
ZALVJCYWUBQENP-UHFFFAOYSA-N,2.19162,257.289,4,3,1,98,0.5789473684,-4.09,-3.064655542,1.025344458
UPUDZFFFZRSNAE-UHFFFAOYSA-N,2.19162,257.289,4,3,1,98,0.5789473684,-3.064655526,-4.090000153,1.025344627
UUNWYYVWDSDNMG-UHFFFAOYSA-N,-1.8552,274.108,4,3,4,82,0.4,-0.859282501,0.1660715059,1.025354007
OMFXVFTZEKFJBZ-IIJALIKYSA-N,0.4779,386.302,1,1,1,102,0.4736842105,-1.922277123,-2.94766445,1.025387327
IXORZMNAPKEEDV-ZEMROTDWSA-N,4.8654,373.349,7,4,0,126,0.4347826087,-4.507641881,-5.533070827,1.025428946
ZLNAFSPCNATQPQ-UHFFFAOYSA-N,1.3014,327.38,2,5,2,126,0.25,-3.39,-2.364295721,1.025704279
UZJNTDYYQJIUTM-UHFFFAOYSA-M,1.3014,327.38,2,5,2,126,0.25,-2.364295705,-3.390000105,1.0257044
IHKNYPYJYZUMMA-UHFFFAOYSA-N,2.3,202.213,2,3,1,76,0.7333333333,-2.129717813,-3.155519356,1.025801543
OWTTYIRLLHUZKU-UHFFFAOYSA-N,2.0007,532.63,2,9,3,210,0,-4.670665159,-3.644853563,1.025811596
IYSYLWYGCWTJSG-XFXZXTDPSA-N,3.8272,308.381,6,4,1,118,0.7391304348,-4.911595827,-3.885743563,1.025852264
LAIUFBWHERIJIH-UHFFFAOYSA-N,5.3465,305.462,12,3,1,124,0.2727272727,-7.8,-6.774070194,1.025929806
CSUHFMCPKPKGOF-UHFFFAOYSA-N,0.9217,217.652,3,4,3,78,0.4285714286,0.662243324,-0.3637932305,1.026036555
FZNXAQMQVKBXDR-UHFFFAOYSA-N,3.702,501.451,10,7,1,184,0.3636363636,-3.31105723,-4.337185818,1.026128588
XXCMBPUMZXRBTN-UHFFFAOYSA-N,-2.7057,95.573,0,1,0,34,0,0.8993339871,-0.1268604747,1.026194462
INQOMBQAUSQDDS-UHFFFAOYSA-N,1.8248,163.22,2,1,1,64,0.5,-2.195740034,-1.169178675,1.026561359
AVCKOFMRPAJEPN-UHFFFAOYSA-N,4.1592,276.679,3,4,2,96,0.6315789474,-2.62,-3.646666606,1.026666606
PUEDRVOCLLHKQK-UHFFFAOYSA-N,3.5159,325.412,5,4,1,126,0.5,-5.242920607,-4.216208219,1.026712388
SIULLDWIXYYVCU-UHFFFAOYSA-N,3.3463,463.914,4,6,2,172,0.375,-6.371968454,-5.345078833,1.026889621
FBRJYBGLCHWYOE-UHFFFAOYSA-N,4.7014,478.988,5,5,0,180,0,-5.902098277,-4.875030917,1.02706736
XBLAEBYYJMOIDO-UHFFFAOYSA-N,5.09308,454.611,13,6,0,180,0.3636363636,-3.98,-5.00723505,1.02723505
SGXXNSQHWDMGGP-IZZDOVSWSA-N,5.09308,454.611,13,6,0,180,0.3636363636,-5.007235261,-3.980000019,1.027235242
VEDTXTNSFWUXGQ-UHFFFAOYSA-N,4.8268,259.478,12,1,0,112,0,-4.012700001,-5.040634539,1.027934538
WRHGKVNXGAUMGD-UHFFFAOYSA-N,-0.5046,211.221,2,6,2,82,0.4,-0.441643715,-1.46974356,1.028099845
GUBNMFJOJGDCEL-UHFFFAOYSA-N,1.9451,193.206,3,3,1,74,0.4285714286,-2.600368403,-1.572080761,1.028287642
ZOXROYAHTWXWDS-UHFFFAOYSA-N,1.1714,490.685,6,8,0,188,0,-2.46341794,-3.491836855,1.028418915
XREKTVACBXQCSB-UHFFFAOYSA-N,5.8867,284.484,14,2,0,120,0,-7.821600569,-6.793149564,1.028451005
POULHZVOKOAJMA-UHFFFAOYSA-N,2.4987,436.52,2,6,2,172,0,-5.601781498,-4.573290541,1.028490957
VQOFJPFYTCHPTR-UHFFFAOYSA-N,2.8196,179.244,3,3,0,62,0.5,-4.26,-3.231230027,1.028769973
LNCZLEZOTUBASE-UHFFFAOYSA-N,1.0044,371.258,4,0,0,112,0.8181818182,-0.9372185286,-1.966104733,1.028886205
GBFBZNVXLZXZMP-GTHSLJRASA-K,6.2012,299.398,0,2,1,104,0.9090909091,-7.9081,-6.878600121,1.029499879
TWJXYBSUGSKHPM-UHFFFAOYSA-N,6.2012,299.398,0,2,1,104,0.9090909091,-6.8786,-7.908100128,1.029500128
FFFHZYDWPBMWHY-VKHMYHEASA-N,-1.561,349.858,9,3,2,130,0.5,-2.376570763,-3.406275723,1.02970496
DFPHFJOBKOEGQC-UHFFFAOYSA-L,3.7595,259.78,4,1,1,94,0.6666666667,-2.675028369,-3.704955829,1.02992746
VLFMJVSCBCADEJ-UHFFFAOYSA-N,0.38,439.006,2,4,4,108,0.6,-3.84147166,-2.811496132,1.029975528
UXQSJMBMFDCPMM-UHFFFAOYSA-N,2.6526,324.38,6,4,2,124,0.625,-4.587810051,-3.557196392,1.030613659
DSLZVSRJTYRBFB-GJPGBQJBSA-N,5.37722,304.414,4,2,0,108,0.8181818182,-7.61540826,-6.584764711,1.030643549
GWBJAJHNRFKJON-UHFFFAOYSA-N,2.4309,484.357,6,7,3,146,0.6428571429,-2.62,-3.650741891,1.030741891
NEBPTMCRLHKPOB-UHFFFAOYSA-N,4.1252,302.458,0,2,1,122,0,-3.526422567,-4.557369989,1.030947422
SFXAJOVEEUKUPY-UHFFFAOYSA-N,0.8021,193.413,1,2,2,54,0,0.36,-0.6710439512,1.031043951
CMIRRYUUJFPVJI-UHFFFAOYSA-N,1.4608,173.171,0,3,1,64,0.4615384615,-2.94,-1.908614632,1.031385368
UKADPXJGNACTCY-UHFFFAOYSA-N,5.747,307.264,5,0,0,106,0.6,-7.04,-6.008530694,1.031469306
URLKBWYHVLBVBO-UHFFFAOYSA-N,3.15042,358.346,6,6,1,136,0.3461538462,-3.360621544,-4.392167241,1.031545697
BGLQEQJSABKOQX-UHFFFAOYSA-N,3.3942,426.538,3,5,2,158,0.4,-5.111436671,-4.079866486,1.031570185
IWQDAJHWXYWODB-UHFFFAOYSA-N,0.9052,382.375,9,1,1,138,0.48,-7.003843454,-5.972253542,1.031589912
FWMLYVACGDQRFU-UHFFFAOYSA-N,1.3774,254.648,2,3,1,88,0.7058823529,-2.458403407,-3.49000001,1.031596603
HBZLKQCYQCZGAN-UHFFFAOYSA-N,1.3774,254.648,2,3,1,88,0.7058823529,-3.49,-2.458403349,1.031596651
